"AccSpeciesName","OrigValueStr"
"Aconitum napellus","blue"
"Aconitum degenii","blue"
"Aconitum pilipes","blue"
"Aconitum plicatum","blue"
"Aconitum tauricum","blue"
"Ajuga genevensis","blue"
"Ajuga pyramidalis","blue"
"Ajuga reptans","blue"
"Anagallis arvensis","blue"
"Anagallis arvensis subsp. foemina","blue"
"Anagallis arvensis subsp. foemina","blue"
"Anchusa arvensis","blue"
"Anchusa azurea","blue"
"Arabis caerulea","blue"
"Asperula arvensis","blue"
"Borago officinalis","blue"
"Borago officinalis","blue"
"Brunnera macrophylla","blue"
"Campanula cervicaria","blue"
"Campanula cochleariifolia","blue"
"Campanula medium","blue"
"Campanula persicifolia","blue"
"Cyanus segetum","blue"
"Centaurea montana","blue"
"Centaurea triumfettii","blue"
"Scilla forbesii","blue"
"Scilla luciliae","blue"
"Scilla sardensis","blue"
"Lactuca plumieri","blue"
"Cichorium endivia","blue"
"Cichorium intybus","blue"
"Clematis alpina","blue"
"Consolida regalis","blue"
"Delphinium elatum","blue"
"Echinops bannaticus","blue"
"Echinops exaltatus","blue"
"Echinops sphaerocephalus","blue"
"Eryngium maritimum","blue"
"Eryngium planum","blue"
"Euphorbia falcata","blue"
"Galega officinalis","blue"
"Gentiana acaulis","blue"
"Gentiana asclepiadea","blue"
"Gentiana bavarica","blue"
"Gentiana clusii","blue"
"Gentiana cruciata","blue"
"Gentiana nivalis","blue"
"Calathiana orbicularis","blue"
"Gentiana pneumonanthe","blue"
"Gentiana utriculosa","blue"
"Gentiana verna","blue"
"Gentianopsis ciliata","blue"
"Comastoma tenellum","blue"
"Geranium pratense","blue"
"Globularia vulgaris","blue"
"Globularia cordifolia","blue"
"Globularia nudicaulis","blue"
"Lappula deflexa","blue"
"Hepatica nobilis","blue"
"Hyacinthoides hispanica","blue"
"HYACINTHOIDES NON-SCRIPTA","blue"
"Hyssopus officinalis","blue"
"Iris pallida","blue"
"Jasione laevis","blue"
"Jasione montana","blue"
"Knautia arvensis","blue"
"Lactuca perennis","blue"
"Lactuca perennis","blue"
"Lappula squarrosa","blue"
"Linaria arvensis","blue"
"Linum austriacum","blue"
"Linum alpinum","blue"
"Linum leonii","blue"
"Linum ockendonii","blue"
"Linum perenne","blue"
"Linum usitatissimum","blue"
"Lomatogonium carinthiacum","blue"
"Lupinus angustifolius","blue"
"Lupinus polyphyllus","blue"
"Muscari armeniacum","blue"
"Muscari botryoides","blue"
"Muscari neglectum","blue"
"Myosotis alpestris","blue"
"Myosotis arvensis","blue"
"Myosotis laxa","blue"
"Myosotis decumbens","blue"
"Myosotis nemorosa","blue"
"Myosotis scorpioides","blue"
"Myosotis praecox","blue"
"Myosotis ramosissima","blue"
"Myosotis rehsteineri","blue"
"Myosotis sparsiflora","blue"
"Myosotis stricta","blue"
"Myosotis sylvatica","blue"
"Nepeta grandiflora","blue"
"Nicandra physalodes","blue"
"Nigella damascena","blue"
"Nigella damascena","blue"
"Omphalodes scorpioides","blue"
"Omphalodes verna","blue"
"Orobanche arenaria","blue"
