Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
3.95884E-7,0.000039588,0.002650823,1,0,0
4.92414E-7,0.00008883,0.003296119,0.999914325,0,0
5.99257E-7,0.000148756,0.004009869,0.99982865,0,0
6.09607E-7,0.00027038,0.004078983,0.9996573,0,0
6.29333E-7,0.000521142,0.004210694,0.999314599,0,0
6.50298E-7,0.001032886,0.004350658,0.998629198,0,0
6.95311E-7,0.002515669,0.004651102,0.996744345,0,0
7.78685E-7,0.005021989,0.005207358,0.993831391,0,0
9.36954E-7,0.010011649,0.00626244,0.988776559,0,0
1.38998E-6,0.025036725,0.009276319,0.977724469,0,0
1.90501E-6,0.050183157,0.012691594,0.964701851,0,0
2.57692E-6,0.100009755,0.017129466,0.945596299,0,0
3.91576E-6,0.200262171,0.025912913,0.919208362,0.000954654,0
4.98221E-6,0.300399217,0.032853192,0.89993146,0.003341289,0
5.75137E-6,0.400150797,0.037828039,0.883995888,0.004295943,0
6.48651E-6,0.500310572,0.042558871,0.869945168,0.005727924,0
7.03939E-6,0.600133581,0.046101505,0.85726525,0.007637232,0
7.63814E-6,0.700644623,0.049923317,0.845527759,0.008591885,0
7.94206E-6,0.750559885,0.051857317,0.840044551,0.009069212,0
8.32054E-6,0.800031108,0.05426033,0.834818369,0.009069212,0
9.04186E-6,0.900516292,0.058823201,0.824880055,0.01097852,0
9.60924E-6,1.000524032,0.062396849,0.815712817,0.011455847,0
1.01767E-5,1.100362736,0.06595721,0.80705963,0.013365155,0
1.0817E-5,1.200004838,0.069958598,0.798920493,0.013842482,0
1.1449E-5,1.300043313,0.073891349,0.791209733,0.016229117,0
1.1975E-5,1.401058625,0.077151769,0.783841672,0.017661098,0
1.24068E-5,1.501134325,0.079819927,0.776816313,0.018138425,0
1.36341E-5,1.750999825,0.087360596,0.76036669,0.020047733,0
1.4866E-5,2.000231175,0.094867616,0.745373544,0.021479714,0
