Species,Longitude,Latitude
red_315,-97.1090634054,32.7585379594
red_315,-97.1624206659,32.7023369959
red_315,-97.1629265138,32.7014116338
red_315,-97.16296887,32.70138248
red_315,-97.1433264886,32.7324965846
red_315,-95.4495835304,29.7625280219
red_315,-98.3792940963,26.1860178966
red_315,-97.9564077475,26.1266341562
red_315,-103.4075367451,29.1624930035
red_315,-98.1334441,26.290698
red_315,-99.999833107,29.6081255691
red_315,-95.3988697222,29.76154
red_315,-97.9889466108,26.1469965569
red_315,-97.173705,26.1375695
red_315,-97.9884850431,26.147568742
red_315,-97.5628711852,26.2667303739
red_315,-95.4370389228,29.7638242599
red_315,-97.4176704481,25.8500105368
red_315,-97.997198,26.159153
red_315,-97.1677783333,26.0987721667
red_315,-97.3471833333,26.2290166667
red_315,-97.9580916667,26.1269583333
red_315,-98.2292866667,26.176905
red_315,-97.66217,26.187095
red_315,-103.50666167,29.99462167
red_315,-100.30216167,25.75432
red_315,-97.6622712,26.1865632
red_315,-98.137972,26.080743
red_315,-102.9971861111,29.1790972222
red_315,-100.314316938,25.7241554817
red_315,-99.5053166667,30.0633611111
red_315,-97.4226833333,25.8529533333
red_315,-98.3794416667,26.1854283333
red_315,-101.2961080833,27.9183177222
red_315,-95.5803080997,29.3720208997
red_315,-106.6863709722,24.4235269722
red_315,-97.9963833333,26.1592555
red_315,-96.9845274278,28.1298196782
red_315,-98.2297673,26.1767406
red_315,-97.1678111111,26.0986583333
red_315,-98.0375661667,29.2612018889
red_315,-97.6637416667,26.1859583333
red_315,-97.66365,26.1864383333
red_315,-97.8227916667,26.3211583333
red_315,-97.8216638044,26.3207336919
red_315,-100.26988,25.549613
red_315,-97.9579566667,26.12644
red_315,-95.5846116667,28.88282
red_315,-98.1741633333,26.3054083333
red_315,-103.5826682299,25.496241753
red_315,-98.2297673,26.1767406
red_315,-97.5055846997,25.9458932
red_315,-98.2297673,26.1767406
red_315,-80.3835067749,25.1604938507
red_315,-80.21228,26.49949667
red_315,-80.5307855705,43.4670708865
red_315,-80.6737818941,25.7665583115
red_315,-80.463395,25.6785033333
red_315,-79.3217513015,35.9454349525
red_315,-79.1530194997,35.9859796
red_315,-80.8142083333,28.5549583333
red_315,-80.9393585063,46.5157446763
red_315,-80.2107908069,26.8624926027
red_315,-80.2132533333,26.8553616667
red_315,-116.434479,33.260508
red_315,-116.3468116667,33.623995
red_315,-116.400765,32.9453933333
red_315,-116.4845666667,33.3422866667
red_315,-116.4002166667,33.1993466667
red_315,-116.2000739167,33.2884044722
red_315,-116.1780555556,33.1708333333
red_315,-116.3258333333,33.1061111111
red_315,-116.31253,33.84492
red_315,-116.2663888889,32.9763888889
red_315,-116.2641666667,32.9780555556
red_315,-116.2636111111,32.9777777778
red_315,-116.339965,33.1598066667
red_315,-116.1302777778,33.2583333333
red_315,-116.366217941,33.3873488886
red_315,-116.3750489057,33.1422218135
red_315,-116.6240694444,33.864025
red_315,-116.9176631236,32.8602321865
red_315,-116.6610890833,33.9906918056
red_315,-116.20842,32.84562
red_315,-116.6600160556,33.9898279444
red_315,-116.659857,33.9904973611
red_315,-116.60438667,33.84328333
red_315,-116.6525706389,33.9837878611
red_315,-116.6525182778,33.9837751667
red_315,-116.3526202778,33.1484116667
red_315,-116.3599277778,33.1487166667
red_315,-116.4191207886,33.365272522
red_315,-116.2374210545,33.1609096611
red_315,-116.2371937373,33.1613889383
red_315,-116.403775,33.2245444444
red_315,-116.600495,33.9968216667
red_315,-116.4277812662,33.2760279703
red_315,-116.1979278,33.3043871
red_315,-116.3786,33.1379611111
red_315,-116.2542433333,33.5324016667
red_315,-116.375275,33.1383888333
red_315,-116.1650471667,32.826725
red_315,-116.3286833333,33.6062466667
red_315,-115.94813,33.91569
red_315,-115.556640029,33.7186954448
red_315,-115.811668396,33.7452774048
red_315,-114.8343429565,33.0701217651
red_315,-111.5297393799,35.2837562561
red_315,-115.3461083333,33.1841133333
red_315,-115.9009923,33.873415
red_315,-107.5413166667,25.0305766667
red_315,-107.5413466667,25.0305583333
red_315,-107.4016616667,24.8273383333
red_315,-111.73162905,33.9175600783
red_315,-110.5755004883,30.8175296783
red_315,-112.7139762733,30.2053447705
red_315,-107.384967,24.82376
red_315,-115.6501029981,33.6602419268
red_315,-110.7926807553,32.3141035398
red_315,-115.9350283333,32.0391416667
red_315,-115.9096533333,33.9285366667
red_315,-112.0224078745,33.3508438535
red_315,-107.9856102993,24.6511326919
red_315,-110.3830705876,24.5087603112
red_315,-121.494202,38.370228
red_315,-121.9704147523,47.8646975477
red_315,-121.9095616667,49.2124216667
red_315,-121.7790960521,36.2519873572
red_315,-81.2291001157,28.2436267808
red_315,-84.5092,39.1277388333
red_315,-81.5055802558,28.6804056913
red_315,-82.2419366667,27.056325
red_315,-81.98006,29.0449383333
red_315,-82.63649,27.77895
red_315,-84.0053630222,33.9816717016
red_315,-81.2229672,28.9236882
red_315,-82.3946056858,29.6608178447
red_315,-83.94013333,35.94713833
red_315,-81.5694733463,28.6690040163
red_315,-84.8247916667,29.8154783333
red_315,-81.9103341546,29.2116731085
red_315,-81.0588695,28.61628
red_315,-83.3044283333,35.50003
red_315,-82.7602058716,29.9831232507
red_315,-81.1556695,28.59382
red_315,-81.5268711186,30.3059594073
red_315,-82.883114,40.108034
red_315,-82.884771,40.108485
red_315,-81.6984849,25.911672
red_315,-82.0505385524,29.2158029328
red_315,-72.5718216667,44.253985
red_315,-71.0356061161,42.3125129667
red_315,-71.0355863348,42.3123555301
red_315,-71.0389727111,42.3125773721
red_315,-71.1238944444,42.2938833333
red_315,-63.690769956,44.7956252992
red_315,-60.1795222222,46.1377444444
red_315,-60.19102833,46.13174167
red_315,-60.1830444444,46.1384694444
red_315,-60.1335325465,46.1563588657
red_315,-60.1908651944,46.1314125833
red_315,-60.2839816667,46.3092416667
red_315,-60.19,46.1273028333
red_315,-60.1893366667,46.1262166667
red_315,-60.1895,46.1319278333
red_315,-60.1917458961,46.1454631281
red_315,-60.1917216667,46.1454305
red_315,-71.2586116791,42.3657738363
red_315,-60.1917033333,46.145472173
red_315,-60.4245268842,46.1499658279
red_315,-60.1917277778,46.1454666667
red_315,-60.1944083333,46.1495277778
red_315,-60.3117605112,46.2107205912
red_315,-60.311629025,46.2107057986
red_315,-60.2535366667,46.2042716667
red_315,-60.2534666667,46.2041666667
red_315,-63.5816916667,44.6476383333
red_315,-63.582475,44.6431883333
red_315,-60.4594466667,45.96628
red_315,-61.8257716667,45.0642971667
red_315,-60.3140733333,46.2080733333
red_315,-60.3149683333,46.2080033333
red_315,-60.0043,45.8852383333
red_315,-60.5412190649,46.2854257463
red_315,-65.6189805556,44.7730944444
red_315,-60.0506555556,46.0398083333
red_315,-68.6837944444,44.9147527778
red_315,-60.0522166667,46.0421194444
red_315,-64.63081185,44.48361793
red_315,-61.7019583333,45.0935555
red_315,-60.4475216667,45.9713033333
red_315,-60.0476111667,46.1670333333
red_315,-60.0475916667,46.1670416667
red_315,-60.1683337141,46.1101559168
red_315,-60.0354278333,46.21487
red_315,-65.50853,44.7414166667
red_315,-60.1352666667,46.1481638333
red_315,-60.1351805,46.1481166667
red_315,-65.7798533333,44.6112416667
