Predictor variable,Categorical,Sample average
0,false,17.264944824745985
1,false,12.289277437256604
10,false,121.130081300813
11,false,33.91869918699187
12,false,52.00027667410006
13,false,321.6910569105691
14,false,118.1219512195122
15,false,229.9349593495935
16,false,203.34146341463415
2,false,42.32396308774871
3,false,641.5687950568471
4,false,31.712931268583468
5,false,2.0563399270176888
6,false,29.65659121381558
7,false,25.020972112329996
8,false,9.366743420924598
9,false,831.5772357723578
