Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.25679E-7,0.000092568,0.007597223,1,0,0
9.5451E-7,0.000188019,0.007832909,0.999918626,0,0
9.789E-7,0.000285909,0.008032253,0.999837253,0,0
1.01292E-6,0.000585709,0.008310214,0.999593132,0,0
1.0417E-6,0.001000154,0.008545314,0.999267638,0,0
1.1838E-6,0.002573358,0.009705346,0.998128408,0,0
1.28567E-6,0.005060595,0.01053615,0.996500936,0,0
1.50378E-6,0.010087492,0.012312485,0.993571487,0,0
2.04932E-6,0.025166578,0.016741669,0.986817479,0,0
2.64103E-6,0.050216496,0.02152315,0.978191879,0.001411931,0
3.42023E-6,0.100143504,0.02778432,0.964846611,0.002117896,0
4.44487E-6,0.200024216,0.035956778,0.94417772,0.003176844,0
5.32983E-6,0.300024911,0.042959824,0.927577508,0.004941758,0
6.29611E-6,0.400488454,0.050548294,0.913499878,0.006353689,0
6.9828E-6,0.500328312,0.055904509,0.901212466,0.006353689,0
7.80255E-6,0.600263571,0.062258972,0.890227032,0.007412637,0
8.44067E-6,0.700341165,0.067175874,0.880218081,0.008471585,0
8.82443E-6,0.75057777,0.070120453,0.875498413,0.008824568,0
9.11748E-6,0.800027498,0.072362794,0.871022866,0.00917755,0
9.67089E-6,0.90057622,0.076582478,0.862315892,0.00917755,0
1.0206E-5,1.000220853,0.080644286,0.854178534,0.009883516,0
1.07982E-5,1.100019636,0.085119294,0.846448043,0.010589481,0
1.12053E-5,1.20013865,0.088181956,0.839043047,0.012354395,0
1.1668E-5,1.300696817,0.091651257,0.831882171,0.013413343,0
1.21602E-5,1.400728338,0.095327423,0.82504679,0.013766325,0
1.26692E-5,1.50011597,0.099112828,0.818536903,0.014119308,0
1.38738E-5,1.75073607,0.108008995,0.803238669,0.015178256,0
1.49499E-5,2.000107241,0.115882032,0.789161038,0.018355101,0
1.59828E-5,2.250963117,0.123373815,0.775978517,0.020472997,0
1.70665E-5,2.500382863,0.1311658,0.763691106,0.021178962,0
1.81108E-5,2.75008038,0.138608357,0.752136057,0.022943876,0
1.91923E-5,3.001361178,0.146249494,0.741150623,0.025414755,0
2.02899E-5,3.250391716,0.153934452,0.730897551,0.02612072,0
2.12998E-5,3.501662837,0.160944677,0.721051347,0.027532651,0
2.23471E-5,3.750174587,0.168153444,0.711774758,0.030356513,0
2.35157E-5,4.001531037,0.176123776,0.702823663,0.032121426,0
2.44145E-5,4.25092712,0.18220132,0.69436081,0.03388634,0
2.54563E-5,4.500324373,0.189190423,0.686223452,0.03529827,0
2.66062E-5,4.750247672,0.196835473,0.678411588,0.038122132,0
2.77551E-5,5.000376215,0.204402003,0.670925218,0.039887046,0
2.88193E-5,5.25163777,0.211346673,0.663682969,0.042004942,0
2.98154E-5,5.501138007,0.217792236,0.656766214,0.044828803,0
3.08938E-5,5.750110486,0.224710859,0.65009358,0.047299682,0
3.22198E-5,6.002336249,0.233134152,0.643583693,0.04835863,0
3.32978E-5,6.251224884,0.239914841,0.6373993,0.050476527,0
3.44235E-5,6.502097752,0.246931405,0.631377655,0.052594423,0
3.53459E-5,6.753270348,0.252632479,0.625518757,0.053653371,0
3.61174E-5,7.000041248,0.257367322,0.619903979,0.055418285,0
3.74322E-5,7.253731539,0.26536816,0.614289202,0.058242146,0
3.85614E-5,7.501118807,0.272170574,0.608999919,0.059654077,0
3.94594E-5,7.750877912,0.277535363,0.603792009,0.062124956,0
4.03453E-5,8.002338675,0.282788966,0.598665473,0.062830921,0
4.13345E-5,8.251290128,0.288610452,0.593701684,0.0653018,0
4.24073E-5,8.502498137,0.294870473,0.588819269,0.068125662,0
4.35853E-5,8.752106404,0.301680153,0.584099601,0.069537593,0
4.45966E-5,9.003632401,0.307474535,0.579461307,0.071302506,0
4.56374E-5,9.251766803,0.313387323,0.57498576,0.075185316,0
4.67197E-5,9.50132281,0.319482221,0.570591586,0.077303212,0
4.81995E-5,9.752668521,0.327728287,0.566278786,0.079774091,0
4.90799E-5,10.00103175,0.332586706,0.562128733,0.082597953,0
5.04368E-5,10.250186632,0.340006227,0.558060054,0.084715849,0
5.1404E-5,10.504662935,0.345244015,0.553991374,0.087539711,0
5.23923E-5,10.753698649,0.350553883,0.550085442,0.089304624,0
5.3209E-5,11.002136725,0.35490868,0.546260884,0.09142252,0
5.40599E-5,11.25428949,0.359414949,0.542436325,0.094246382,0
5.49084E-5,11.504865569,0.363877237,0.53869314,0.096011295,0
