binomial,photo_url,flower_present,subjectivity,gpt_color
Trillium grandiflorum,https://inaturalist-open-data.s3.amazonaws.com/photos/80252/medium.jpg,YES,LOW,WHITE
Dipterostemon capitatus,https://inaturalist-open-data.s3.amazonaws.com/photos/2641/medium.jpg,YES,LOW,PURPLE
Trillium erectum,https://inaturalist-open-data.s3.amazonaws.com/photos/48047526/medium.jpg,YES,LOW,WHITE
Sanguinaria canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/1862384/medium.jpg,YES,LOW,WHITE
Trillium ovatum,https://inaturalist-open-data.s3.amazonaws.com/photos/1691/medium.jpg,YES,LOW,WHITE
Ficaria verna,https://inaturalist-open-data.s3.amazonaws.com/photos/7034063/medium.jpg,YES,LOW,YELLOW
Claytonia virginica,https://inaturalist-open-data.s3.amazonaws.com/photos/3704183/medium.jpg,YES,LOW,PINK
Erodium cicutarium,https://inaturalist-open-data.s3.amazonaws.com/photos/3034061/medium.jpg,YES,LOW,PINK
Cypripedium acaule,https://inaturalist-open-data.s3.amazonaws.com/photos/1532/medium.jpg,YES,LOW,PINK
Lamium purpureum,https://inaturalist-open-data.s3.amazonaws.com/photos/9778/medium.jpg,YES,LOW,PINK
Houstonia caerulea,https://inaturalist-open-data.s3.amazonaws.com/photos/28229/medium.jpg,YES,LOW,WHITE
Impatiens capensis,https://inaturalist-open-data.s3.amazonaws.com/photos/112963/medium.jpg,YES,LOW,ORANGE
Erythronium americanum,https://static.inaturalist.org/photos/790349/medium.jpg,YES,LOW,YELLOW
Arisaema triphyllum,https://inaturalist-open-data.s3.amazonaws.com/photos/4001130/medium.jpeg,YES,MEDIUM,BROWN
Dicentra cucullaria,https://inaturalist-open-data.s3.amazonaws.com/photos/16316623/medium.jpeg,YES,LOW,WHITE
Trifolium pratense,https://inaturalist-open-data.s3.amazonaws.com/photos/35545444/medium.jpg,YES,LOW,PINK
Triteleia laxa,https://inaturalist-open-data.s3.amazonaws.com/photos/60796/medium.jpg,YES,LOW,PURPLE
Achillea millefolium,https://static.inaturalist.org/photos/19971995/medium.jpeg,YES,LOW,WHITE
Alliaria petiolata,https://inaturalist-open-data.s3.amazonaws.com/photos/3542548/medium.jpg,YES,LOW,WHITE
Trifolium repens,https://inaturalist-open-data.s3.amazonaws.com/photos/64586855/medium.jpeg,YES,LOW,PINK
Hesperis matronalis,https://inaturalist-open-data.s3.amazonaws.com/photos/850/medium.jpg,YES,LOW,PURPLE
Convolvulus arvensis,https://inaturalist-open-data.s3.amazonaws.com/photos/146112520/medium.jpg,YES,LOW,PINK
Asimina triloba,https://inaturalist-open-data.s3.amazonaws.com/photos/4948460/medium.jpg,NO,LOW,NAN
Cichorium intybus,https://inaturalist-open-data.s3.amazonaws.com/photos/9244618/medium.jpg,YES,LOW,BLUE
Lotus corniculatus,https://inaturalist-open-data.s3.amazonaws.com/photos/45639536/medium.jpeg,YES,LOW,YELLOW
Prunella vulgaris,https://inaturalist-open-data.s3.amazonaws.com/photos/65409387/medium.jpg,YES,LOW,PURPLE
Aquilegia canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/7802044/medium.jpg,YES,LOW,RED
Fritillaria affinis,https://inaturalist-open-data.s3.amazonaws.com/photos/27849/medium.jpg,YES,MEDIUM,MAROON
Mertensia virginica,https://inaturalist-open-data.s3.amazonaws.com/photos/13596/medium.jpg,YES,LOW,BLUE
Daucus carota,https://inaturalist-open-data.s3.amazonaws.com/photos/7663971/medium.jpeg,YES,LOW,WHITE
Ageratina altissima,https://inaturalist-open-data.s3.amazonaws.com/photos/162191139/medium.jpg,YES,LOW,WHITE
Passiflora incarnata,https://inaturalist-open-data.s3.amazonaws.com/photos/91738617/medium.jpg,YES,LOW,PURPLE
Glechoma hederacea,https://inaturalist-open-data.s3.amazonaws.com/photos/72797040/medium.jpeg,YES,LOW,PURPLE
Eschscholzia californica,https://inaturalist-open-data.s3.amazonaws.com/photos/1233073/medium.,YES,LOW,ORANGE
Lamium amplexicaule,https://inaturalist-open-data.s3.amazonaws.com/photos/6441210/medium.jpg,YES,LOW,PINK
Trillium undulatum,https://inaturalist-open-data.s3.amazonaws.com/photos/3614/medium.jpg,YES,LOW,WHITE
Anemonoides quinquefolia,https://inaturalist-open-data.s3.amazonaws.com/photos/66010721/medium.jpeg,YES,LOW,WHITE
Epigaea repens,https://inaturalist-open-data.s3.amazonaws.com/photos/7349618/medium.jpg,YES,LOW,WHITE
Bellis perennis,https://inaturalist-open-data.s3.amazonaws.com/photos/41070402/medium.jpeg,YES,LOW,WHITE
Ligustrum sinense,https://inaturalist-open-data.s3.amazonaws.com/photos/570026/medium.jpg,YES,LOW,WHITE
Ornithogalum umbellatum,https://inaturalist-open-data.s3.amazonaws.com/photos/64705466/medium.jpg,YES,LOW,WHITE
Phacelia crenulata,https://inaturalist-open-data.s3.amazonaws.com/photos/71734663/medium.jpeg,YES,LOW,PURPLE
Lythrum salicaria,https://static.inaturalist.org/photos/63744014/medium.jpeg,YES,LOW,PURPLE
Mimulus ringens,https://static.inaturalist.org/photos/4532635/medium.jpg,YES,LOW,PURPLE
Chimaphila maculata,https://inaturalist-open-data.s3.amazonaws.com/photos/28965430/medium.jpeg,YES,LOW,WHITE
Lunaria annua,https://static.inaturalist.org/photos/129122306/medium.jpeg,YES,LOW,PURPLE
Galium aparine,https://inaturalist-open-data.s3.amazonaws.com/photos/113728457/medium.jpeg,NO,LOW,NAN
Asclepias tuberosa,https://inaturalist-open-data.s3.amazonaws.com/photos/45041403/medium.jpeg,YES,LOW,ORANGE
Lobelia cardinalis,https://inaturalist-open-data.s3.amazonaws.com/photos/23497042/medium.jpeg,YES,LOW,RED
Geranium maculatum,https://inaturalist-open-data.s3.amazonaws.com/photos/3489641/medium.JPG,YES,LOW,PURPLE
Chamaenerion angustifolium,https://inaturalist-open-data.s3.amazonaws.com/photos/145664133/medium.jpg,YES,LOW,PURPLE
Sambucus cerulea,https://inaturalist-open-data.s3.amazonaws.com/photos/46738687/medium.jpg,YES,LOW,WHITE
Erodium botrys,https://inaturalist-open-data.s3.amazonaws.com/photos/16860963/medium.jpg,YES,LOW,PINK
Leucanthemum vulgare,https://inaturalist-open-data.s3.amazonaws.com/photos/82586207/medium.jpeg,YES,LOW,WHITE
Encelia farinosa,https://inaturalist-open-data.s3.amazonaws.com/photos/6651821/medium.jpeg,YES,LOW,YELLOW
Asclepias syriaca,https://inaturalist-open-data.s3.amazonaws.com/photos/73191225/medium.jpg,YES,LOW,PINK
Hesperoyucca whipplei,https://inaturalist-open-data.s3.amazonaws.com/photos/122618669/medium.jpg,YES,LOW,WHITE
Commelina communis,https://inaturalist-open-data.s3.amazonaws.com/photos/164346590/medium.jpg,YES,LOW,BLUE
Viola sororia,https://inaturalist-open-data.s3.amazonaws.com/photos/19508334/medium.jpeg,YES,LOW,PURPLE
Caltha palustris,https://inaturalist-open-data.s3.amazonaws.com/photos/5897227/medium.jpg,YES,LOW,YELLOW
Geranium robertianum,https://inaturalist-open-data.s3.amazonaws.com/photos/285381873/medium.jpg,YES,LOW,PINK
Symphyotrichum novae-angliae,https://inaturalist-open-data.s3.amazonaws.com/photos/52293886/medium.jpg,YES,LOW,PURPLE
Lysimachia borealis,https://inaturalist-open-data.s3.amazonaws.com/photos/18688203/medium.jpeg,YES,LOW,WHITE
Thalictrum thalictroides,https://static.inaturalist.org/photos/37534467/medium.jpg,YES,LOW,WHITE
Abronia villosa,https://inaturalist-open-data.s3.amazonaws.com/photos/117389013/medium.jpg,YES,LOW,PURPLE
Clintonia borealis,https://inaturalist-open-data.s3.amazonaws.com/photos/6275/medium.jpg,YES,MEDIUM,GREEN
Baccharis pilularis,https://inaturalist-open-data.s3.amazonaws.com/photos/4031427/medium.jpg,YES,LOW,GREEN
Trillium recurvatum,https://static.inaturalist.org/photos/92924/medium.jpg,YES,LOW,MAROON
Pontederia cordata,https://inaturalist-open-data.s3.amazonaws.com/photos/119490989/medium.jpg,YES,LOW,BLUE
Monotropa uniflora,https://inaturalist-open-data.s3.amazonaws.com/photos/4319833/medium.jpeg,YES,LOW,WHITE
Rudbeckia hirta,https://inaturalist-open-data.s3.amazonaws.com/photos/135566/medium.jpg,YES,LOW,YELLOW
Chylismia claviformis,https://inaturalist-open-data.s3.amazonaws.com/photos/12762/medium.jpg,YES,LOW,WHITE
Taraxacum officinale,https://inaturalist-open-data.s3.amazonaws.com/photos/35280454/medium.jpg,YES,LOW,YELLOW
Phacelia distans,https://inaturalist-open-data.s3.amazonaws.com/photos/62472412/medium.jpeg,YES,LOW,BLUE
Lupinus texensis,https://inaturalist-open-data.s3.amazonaws.com/photos/1447028/medium.JPG,YES,LOW,BLUE
Tussilago farfara,https://inaturalist-open-data.s3.amazonaws.com/photos/67955891/medium.jpeg,YES,LOW,YELLOW
Tiarella trifoliata,https://inaturalist-open-data.s3.amazonaws.com/photos/61878/medium.jpg,YES,LOW,WHITE
Triteleia ixioides,https://inaturalist-open-data.s3.amazonaws.com/photos/434494/medium.jpg,YES,LOW,YELLOW
Triteleia hyacinthina,https://inaturalist-open-data.s3.amazonaws.com/photos/11771/medium.jpg,YES,LOW,WHITE
Larrea tridentata,https://inaturalist-open-data.s3.amazonaws.com/photos/163141503/medium.jpg,YES,LOW,YELLOW
Malacothrix glabrata,https://inaturalist-open-data.s3.amazonaws.com/photos/6590680/medium.jpeg,YES,LOW,YELLOW
Arctostaphylos uva-ursi,https://static.inaturalist.org/photos/181302737/medium.jpeg,YES,LOW,PINK
Anemone berlandieri,https://inaturalist-open-data.s3.amazonaws.com/photos/13821185/medium.jpeg,YES,LOW,WHITE
Lysimachia arvensis,https://inaturalist-open-data.s3.amazonaws.com/photos/60935732/medium.jpg,YES,LOW,ORANGE
Salvia columbariae,https://static.inaturalist.org/photos/177009/medium.jpg,YES,LOW,BLUE
Lysimachia ciliata,https://inaturalist-open-data.s3.amazonaws.com/photos/17395/medium.jpg,YES,LOW,YELLOW
Adelinia grande,https://inaturalist-open-data.s3.amazonaws.com/photos/28874/medium.jpg,YES,LOW,BLUE
Sambucus canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/104695913/medium.jpg,YES,LOW,WHITE
Malacothamnus fasciculatus,https://static.inaturalist.org/photos/19155029/medium.jpg,YES,LOW,PINK
Erodium moschatum,https://static.inaturalist.org/photos/3084700/medium.jpg,YES,LOW,PURPLE
Cardamine concatenata,https://inaturalist-open-data.s3.amazonaws.com/photos/5903049/medium.jpg,YES,LOW,PINK
Maianthemum racemosum,https://static.inaturalist.org/photos/39168234/medium.jpg,YES,LOW,WHITE
Monarda fistulosa,https://inaturalist-open-data.s3.amazonaws.com/photos/47763/medium.jpg,YES,LOW,PURPLE
Claytonia caroliniana,https://static.inaturalist.org/photos/3566409/medium.jpg,YES,LOW,PINK
Nicotiana glauca,https://inaturalist-open-data.s3.amazonaws.com/photos/167324799/medium.jpeg,YES,LOW,YELLOW
Lupinus arizonicus,https://inaturalist-open-data.s3.amazonaws.com/photos/264204722/medium.jpeg,YES,LOW,PURPLE
Securigera varia,https://inaturalist-open-data.s3.amazonaws.com/photos/34301/medium.jpg,YES,LOW,PINK
Opuntia basilaris,https://inaturalist-open-data.s3.amazonaws.com/photos/177771265/medium.jpg,NO,LOW,NAN
Aquilegia formosa,https://inaturalist-open-data.s3.amazonaws.com/photos/35766593/medium.jpeg,YES,LOW,ORANGE
Lobelia siphilitica,https://inaturalist-open-data.s3.amazonaws.com/photos/51278079/medium.jpg,YES,LOW,BLUE
Calochortus leichtlinii,https://static.inaturalist.org/photos/13920126/medium.jpg,YES,LOW,WHITE
Rafinesquia neomexicana,https://inaturalist-open-data.s3.amazonaws.com/photos/71607/medium.jpg,YES,LOW,WHITE
Sphaeralcea ambigua,https://static.inaturalist.org/photos/33627068/medium.jpg,YES,LOW,ORANGE
Lilium columbianum,https://inaturalist-open-data.s3.amazonaws.com/photos/45444/medium.jpg,YES,LOW,ORANGE
Vinca minor,https://inaturalist-open-data.s3.amazonaws.com/photos/66917488/medium.jpeg,YES,LOW,PURPLE
Linaria vulgaris,https://inaturalist-open-data.s3.amazonaws.com/photos/239184795/medium.jpeg,YES,LOW,YELLOW
Salvia lyrata,https://inaturalist-open-data.s3.amazonaws.com/photos/80497432/medium.jpg,YES,LOW,PURPLE
Brodiaea elegans,https://inaturalist-open-data.s3.amazonaws.com/photos/3974/medium.jpg,YES,LOW,PURPLE
Perityle emoryi,https://inaturalist-open-data.s3.amazonaws.com/photos/6057749/medium.jpeg,YES,LOW,WHITE
Solanum dulcamara,https://inaturalist-open-data.s3.amazonaws.com/photos/70860715/medium.jpeg,YES,LOW,PURPLE
Tiarella stolonifera,https://static.inaturalist.org/photos/60104845/medium.jpeg,YES,LOW,WHITE
Chimaphila umbellata,https://inaturalist-open-data.s3.amazonaws.com/photos/56335220/medium.jpeg,YES,LOW,PINK
Melilotus albus,https://inaturalist-open-data.s3.amazonaws.com/photos/88013424/medium.jpg,YES,LOW,WHITE
Dichelostemma congestum,https://inaturalist-open-data.s3.amazonaws.com/photos/191967620/medium.jpeg,YES,LOW,PURPLE
Dianthus armeria,https://inaturalist-open-data.s3.amazonaws.com/photos/141115670/medium.jpg,YES,LOW,PINK
Solanum carolinense,https://inaturalist-open-data.s3.amazonaws.com/photos/5735/medium.jpg,YES,LOW,WHITE
Lysichiton americanus,https://static.inaturalist.org/photos/107900/medium.jpg,YES,LOW,YELLOW
Anaphalis margaritacea,https://inaturalist-open-data.s3.amazonaws.com/photos/116351/medium.jpg,YES,LOW,WHITE
Maianthemum canadense,https://inaturalist-open-data.s3.amazonaws.com/photos/24815/medium.jpg,YES,LOW,WHITE
Cephalanthus occidentalis,https://static.inaturalist.org/photos/85835738/medium.jpeg,YES,LOW,WHITE
Symplocarpus foetidus,https://inaturalist-open-data.s3.amazonaws.com/photos/1840324/medium.jpg,YES,LOW,MAROON
Trillium cuneatum,https://inaturalist-open-data.s3.amazonaws.com/photos/34360877/medium.jpg,YES,LOW,BROWN
Datura wrightii,https://static.inaturalist.org/photos/196637572/medium.jpeg,YES,LOW,WHITE
Geraea canescens,https://inaturalist-open-data.s3.amazonaws.com/photos/63846/medium.jpg,YES,LOW,YELLOW
Amphicarpaea bracteata,https://inaturalist-open-data.s3.amazonaws.com/photos/203984/medium.jpg,YES,LOW,WHITE
Lonicera japonica,https://static.inaturalist.org/photos/13558833/medium.jpeg,YES,MEDIUM,YELLOW
Cirsium vulgare,https://inaturalist-open-data.s3.amazonaws.com/photos/82020683/medium.jpg,YES,LOW,PINK
Fragaria virginiana,https://inaturalist-open-data.s3.amazonaws.com/photos/9042713/medium.jpeg,NO,LOW,NAN
Podophyllum peltatum,https://inaturalist-open-data.s3.amazonaws.com/photos/35674124/medium.jpg,YES,LOW,WHITE
Phytolacca americana,https://inaturalist-open-data.s3.amazonaws.com/photos/164206478/medium.jpeg,NO,LOW,NAN
Justicia californica,https://static.inaturalist.org/photos/30487128/medium.jpg,YES,LOW,RED
Erigeron philadelphicus,https://inaturalist-open-data.s3.amazonaws.com/photos/13932511/medium.jpg,YES,LOW,WHITE
Verbena hastata,https://inaturalist-open-data.s3.amazonaws.com/photos/49720020/medium.jpg,YES,LOW,PURPLE
Trillium chloropetalum,https://inaturalist-open-data.s3.amazonaws.com/photos/2765/medium.jpg,YES,LOW,MAROON
Asclepias incarnata,https://inaturalist-open-data.s3.amazonaws.com/photos/21590017/medium.jpg,YES,LOW,PINK
Fouquieria splendens,https://inaturalist-open-data.s3.amazonaws.com/photos/143467257/medium.jpeg,NO,LOW,NAN
Calochortus albus,https://inaturalist-open-data.s3.amazonaws.com/photos/3480/medium.jpg,YES,LOW,WHITE
Rubus odoratus,https://inaturalist-open-data.s3.amazonaws.com/photos/4070233/medium.jpg,YES,LOW,PURPLE
Conoclinium coelestinum,https://inaturalist-open-data.s3.amazonaws.com/photos/2309528/medium.jpg,YES,LOW,PURPLE
Palafoxia arida,https://static.inaturalist.org/photos/31699666/medium.jpg,YES,LOW,PINK
Solanum elaeagnifolium,https://inaturalist-open-data.s3.amazonaws.com/photos/225414606/medium.jpeg,YES,LOW,PURPLE
Phlox divaricata,https://inaturalist-open-data.s3.amazonaws.com/photos/3365048/medium.jpg,YES,LOW,PURPLE
Trillium sessile,https://inaturalist-open-data.s3.amazonaws.com/photos/28209300/medium.jpg,YES,LOW,PURPLE
Veronica persica,https://inaturalist-open-data.s3.amazonaws.com/photos/114006845/medium.jpg,YES,LOW,BLUE
Trichostema lanceolatum,https://inaturalist-open-data.s3.amazonaws.com/photos/54814244/medium.jpeg,YES,LOW,PURPLE
Cirsium horridulum,https://inaturalist-open-data.s3.amazonaws.com/photos/156203292/medium.jpg,YES,LOW,PURPLE
Kalmia latifolia,https://inaturalist-open-data.s3.amazonaws.com/photos/8042769/medium.jpg,YES,LOW,PINK
Chelidonium majus,https://inaturalist-open-data.s3.amazonaws.com/photos/9596/medium.jpg,YES,LOW,YELLOW
Asarum canadense,https://inaturalist-open-data.s3.amazonaws.com/photos/34138753/medium.jpg,YES,LOW,BROWN
Dactylis glomerata,https://inaturalist-open-data.s3.amazonaws.com/photos/44960033/medium.jpeg,YES,LOW,GREEN
Nymphaea odorata,https://inaturalist-open-data.s3.amazonaws.com/photos/1866686/medium.JPG,YES,LOW,WHITE
Medicago lupulina,https://inaturalist-open-data.s3.amazonaws.com/photos/108724356/medium.jpg,YES,LOW,YELLOW
Mitchella repens,https://inaturalist-open-data.s3.amazonaws.com/photos/400039/medium.jpg,YES,LOW,WHITE
Condea emoryi,https://inaturalist-open-data.s3.amazonaws.com/photos/3143876/medium.JPG,YES,LOW,PURPLE
Ferocactus cylindraceus,https://static.inaturalist.org/photos/2934370/medium.jpg,NO,LOW,NAN
Rosa multiflora,https://inaturalist-open-data.s3.amazonaws.com/photos/252786276/medium.jpg,YES,LOW,WHITE
Cornus canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/3251560/medium.JPG,YES,LOW,WHITE
