binomial,photo_url,flower_present,subjectivity,gpt_color,validated,comments
Aquilegia canadensis,https://inaturalist-open-data.s3.amazonaws.com/photos/7802044/medium.jpg,YES,LOW,RED,yes,
Lobelia cardinalis,https://inaturalist-open-data.s3.amazonaws.com/photos/23497042/medium.jpeg,YES,LOW,RED,yes,
Justicia californica,https://static.inaturalist.org/photos/30487128/medium.jpg,YES,LOW,RED,yes,
Salvia coccinea,https://inaturalist-open-data.s3.amazonaws.com/photos/318679077/medium.jpg,YES,LOW,RED,yes,
Gaillardia pulchella,https://inaturalist-open-data.s3.amazonaws.com/photos/75102458/medium.jpg,YES,LOW,RED,yes,
Silene virginica,https://inaturalist-open-data.s3.amazonaws.com/photos/148356/medium.jpg,YES,LOW,RED,yes,
Malvaviscus arboreus,https://inaturalist-open-data.s3.amazonaws.com/photos/168162244/medium.jpg,YES,LOW,RED,yes,
Fritillaria recurva,https://inaturalist-open-data.s3.amazonaws.com/photos/3314213/medium.JPG,YES,LOW,RED,yes,
Pedicularis densiflora,https://inaturalist-open-data.s3.amazonaws.com/photos/380675/medium.jpg,YES,LOW,RED,yes,
Aesculus pavia,https://inaturalist-open-data.s3.amazonaws.com/photos/66037054/medium.jpg,YES,LOW,RED,yes,
Erythrina herbacea,https://inaturalist-open-data.s3.amazonaws.com/photos/39154052/medium.jpeg,YES,LOW,RED,yes,
Echinocereus triglochidiatus,https://inaturalist-open-data.s3.amazonaws.com/photos/12538848/medium.jpg,YES,LOW,RED,yes,
Lonicera dioica,https://inaturalist-open-data.s3.amazonaws.com/photos/15219603/medium.jpg,YES,LOW,RED,yes,
Silene laciniata,https://inaturalist-open-data.s3.amazonaws.com/photos/17675043/medium.jpg,YES,LOW,RED,yes,
Delphinium nudicaule,https://inaturalist-open-data.s3.amazonaws.com/photos/96101/medium.jpg,YES,LOW,RED,yes,
Scrophularia californica,https://inaturalist-open-data.s3.amazonaws.com/photos/43575323/medium.jpeg,YES,LOW,RED,yes,
Penstemon centranthifolius,https://static.inaturalist.org/photos/1946935/medium.jpg,YES,LOW,RED,yes,
Trifolium incarnatum,https://inaturalist-open-data.s3.amazonaws.com/photos/73250250/medium.jpg,YES,LOW,RED,yes,
Sarcodes sanguinea,https://inaturalist-open-data.s3.amazonaws.com/photos/135586759/medium.jpg,YES,LOW,RED,yes,
