,species_name,color
0,abelmoschus esculentus,red
1,abelmoschus esculentus,white
2,abelmoschus esculentus,yellow
3,abrus precatorius,pink
4,abutilon fruticosum,orange
5,abutilon fruticosum,yellow
6,abutilon theophrasti,yellow
7,acacia cyclops,Yellow
8,acacia longifolia,Yellow
9,acacia mearnsii,yellow
10,acacia melanoxylon,White
11,acalypha virginica,Red
12,acer campestre,yellow
13,acer circinatum,Green
14,acer glabrum,Green
15,acer grandidentatum,Yellow
16,acer macrophyllum,Yellow
17,acer negundo,yellow
18,acer negundo,Yellow
19,acer nigrum,Yellow
20,acer pensylvanicum,Yellow
21,acer platanoides,yellow
22,acer pseudoplatanus,yellow
23,acer pseudoplatanus,Yellow
24,acer rubrum,Red
25,acer saccharum,Yellow
26,acer saccharum,Yellow
27,acer spicatum,Yellow
28,achillea millefolium,white
29,achillea millefolium,white
30,achillea millefolium,White
31,achillea millefolium,White
32,achillea millefolium,pink
33,achillea millefolium,purple
34,achillea millefolium,red
35,achillea millefolium,white
36,achillea millefolium,white
37,achillea ptarmica,white
38,achyranthes aspera,green
39,achyranthes aspera,purple
40,achyranthes aspera,red
41,achyranthes aspera,white
42,acmella repens,Green
43,acmispon wrightii,Yellow
44,aconitum columbianum,Blue
45,aconitum napellus,blue
46,acorus calamus,green
47,acorus calamus,Yellow
48,adenostoma fasciculatum,White
49,adonis aestivalis,red
50,adonis aestivalis,orange
51,adonis aestivalis,purple
52,adonis aestivalis,red
53,adonis aestivalis,yellow
54,adoxa moschatellina,green
55,aegopodium podagraria,white
56,aeschynomene americana,pink
57,aeschynomene indica,orange
58,aeschynomene indica,purple
59,aeschynomene indica,white
60,aeschynomene indica,yellow
61,aesculus californica,White
62,aesculus flava,Yellow
63,aesculus glabra,White
64,aesculus hippocastanum,white
65,aesculus pavia,Red
66,aesculus sylvatica,Yellow
67,aethusa cynapium,white
68,agapanthus praecox,blue
69,agastache urticifolia,Red
70,agave americana,Yellow
71,agave americana,yellow
72,ageratum conyzoides,blue
73,ageratum conyzoides,pink
74,ageratum conyzoides,purple
75,ageratum conyzoides,white
76,agoseris aurantiaca,Orange
77,agoseris glauca,Yellow
78,agoseris grandiflora,Yellow
79,agrimonia eupatoria,yellow
80,agrimonia gryposepala,Yellow
81,agrimonia rostellata,Yellow
82,agrimonia rostellata,Yellow
83,agrimonia striata,Yellow
84,agropyron cristatum,Green
85,agrostemma githago,purple
86,agrostis canina,Brown
87,agrostis capillaris,Yellow
88,agrostis gigantea,Yellow
89,agrostis hyemalis,Green
90,agrostis perennans,Green
91,agrostis stolonifera,Purple
92,ailanthus altissima,yellow
93,ajuga chamaepitys,yellow
94,ajuga chamaepitys,yellow
95,ajuga chamaepitys,pink
96,ajuga chamaepitys,yellow
97,ajuga genevensis,blue
98,ajuga reptans,blue
99,ajuga reptans,Blue
100,albizia julibrissin,Yellow
101,albizia lebbeck,green
102,albizia lebbeck,white
103,albizia lebbeck,yellow
104,alcea rosea,purple
105,alchemilla mollis,green
106,alisma gramineum,white
107,alisma gramineum,White
108,alisma lanceolatum,pink
109,alisma plantago-aquatica,white
110,alisma plantago-aquatica,White
111,alisma subcordatum,White
112,alkekengi officinarum,white
113,allamanda cathartica,yellow
114,alliaria petiolata,white
115,allium acuminatum,Purple
116,allium ampeloprasum,pink
117,allium carinatum,purple
118,allium cepa,white
119,allium oleraceum,purple
120,allium roseum,purple
121,allium sativum,white
122,allium sativum,green
123,allium sativum,pink
124,allium sativum,white
125,allium schoenoprasum,purple
126,allium sphaerocephalon,purple
127,allium textile,White
128,allium tuberosum,white
129,allium ursinum,white
130,allium validum,Purple
131,allium vineale,purple
132,alnus alnobetula,green
133,alnus alnobetula,Yellow
134,alnus glutinosa,brown
135,alnus incana,brown
136,alnus rhombifolia,Green
137,aloe arborescens,orange
138,aloe arborescens,red
139,aloe arborescens,yellow
140,aloe maculata,orange
141,aloe maculata,red
142,aloe maculata,yellow
143,aloe vera,yellow
144,alopecurus aequalis,Green
145,alopecurus arundinaceus,Yellow
146,alopecurus carolinianus,Green
147,alopecurus geniculatus,Green
148,alopecurus pratensis,Yellow
149,alpinia zerumbet,orange
150,alpinia zerumbet,pink
151,alpinia zerumbet,white
152,alpinia zerumbet,yellow
153,alternanthera philoxeroides,White
154,althaea officinalis,white
155,alyssum alyssoides,yellow
156,alyssum alyssoides,yellow
157,amaranthus albus,green
158,amaranthus blitoides,green
159,amaranthus blitum,green
160,amaranthus californicus,Red
161,amaranthus cruentus,green
162,amaranthus hybridus,green
163,amaranthus hybridus,green
164,amaranthus hybridus,purple
165,amaranthus hybridus,red
166,amaranthus hybridus,yellow
167,amaranthus hybridus,green
168,amaranthus hybridus,red
169,amaranthus retroflexus,green
170,amaranthus spinosus,green
171,amaryllis belladonna,pink
172,amaryllis belladonna,white
173,ambrosia artemisiifolia,green
174,ambrosia dumosa,Yellow
175,ambrosia monogyra,White
176,ambrosia psilostachya,green
177,ambrosia trifida,green
178,amelanchier alnifolia,white
179,amelanchier alnifolia,White
180,amelanchier arborea,Yellow
181,amelanchier canadensis,White
182,amelanchier laevis,White
183,amelanchier obovalis,White
184,amelanchier ovalis,white
185,amelanchier spicata,white
186,amelanchier utahensis,White
187,ammannia coccinea,Purple
188,ammi majus,white
189,ammophila arenaria,Yellow
190,amorpha canescens,Purple
191,amorpha fruticosa,violet
192,amorpha fruticosa,White
193,amorpha glabra,Purple
194,ampelopsis cordata,White
195,amsinckia lycopsoides,Yellow
196,anaphalis margaritacea,white
197,anaphalis margaritacea,Yellow
198,anchusa officinalis,violet
199,andromeda polifolia,pink
200,andropogon glomeratus,White
201,andropogon ternarius,Green
202,andropogon virginicus,Yellow
203,androsace septentrionalis,white
204,anemone multifida,Yellow
205,anemopsis californica,White
206,anethum graveolens,yellow
207,angelica archangelica,yellow
208,angelica arguta,White
209,angelica sylvestris,white
210,anisacanthus thurberi,Red
211,annona glabra,Yellow
212,antennaria anaphaloides,White
213,antennaria dimorpha,Purple
214,antennaria luzuloides,White
215,antennaria microphylla,White
216,antennaria neglecta,Red
217,anthemis arvensis,white
218,anthemis cotula,white
219,anthriscus caucalis,white
220,anthriscus sylvestris,white
221,anthyllis vulneraria,yellow
222,antigonon leptopus,pink
223,antigonon leptopus,red
224,antigonon leptopus,white
225,apios americana,Purple
226,apium graveolens,white
227,apocynum cannabinum,White
228,aquilegia atrata,brown
229,aquilegia formosa,Red
230,aquilegia vulgaris,violet
231,arabidopsis lyrata,white
232,arabidopsis thaliana,white
233,arabidopsis thaliana,white
234,arabis caucasica,white
235,arabis caucasica,pink
236,arabis caucasica,purple
237,arabis caucasica,white
238,arabis hirsuta,white
239,arachis glabrata,Yellow
240,arachis hypogaea,orange
241,arachis hypogaea,yellow
242,aralia nudicaulis,White
243,aralia spinosa,White
244,arbutus arizonica,White
245,arbutus menziesii,White
246,arctium lappa,violet
247,arctium minus,violet
248,arctium tomentosum,violet
249,arctostaphylos columbiana,White
250,arctostaphylos glauca,White
251,arctostaphylos manzanita,White
252,arctostaphylos nevadensis,White
253,arctostaphylos patula,White
254,arctostaphylos pungens,White
255,arctostaphylos uva-ursi,white
256,arctostaphylos uva-ursi,Purple
257,arctotheca prostrata,yellow
258,arenaria serpyllifolia,white
259,argemone mexicana,yellow
260,argemone ochroleuca,white
261,argemone ochroleuca,yellow
262,argemone polyanthemos,White
263,argentina anserina,Yellow
264,arisaema triphyllum,White
265,aristida adscensionis,green
266,aristida divaricata,Yellow
267,aristida stricta,Green
268,aristolochia clematitis,yellow
269,armeria maritima,pink
270,armeria maritima,Purple
271,armoracia rusticana,white
272,arnica chamissonis,Yellow
273,arnica cordifolia,Yellow
274,arnica fulgens,Yellow
275,arnica lanceolata,Yellow
276,arnica latifolia,Yellow
277,arnica longifolia,Yellow
278,arnica mollis,Yellow
279,arnica ovata,Yellow
280,arrhenatherum elatius,Yellow
281,artemisia absinthium,yellow
282,artemisia annua,yellow
283,artemisia annua,yellow
284,artemisia biennis,yellow
285,artemisia campestris,yellow
286,artemisia cana,Yellow
287,artemisia dracunculus,yellow
288,artemisia frigida,White
289,artemisia furcata,Yellow
290,artemisia ludoviciana,White
291,artemisia nova,Brown
292,artemisia tridentata,Yellow
293,artemisia vulgaris,yellow
294,arum maculatum,green
295,aruncus dioicus,white
296,asarina procumbens,yellow
297,asclepias curassavica,orange
298,asclepias curassavica,pink
299,asclepias curassavica,red
300,asclepias curassavica,yellow
301,asclepias incarnata,Red
302,asclepias speciosa,White
303,asclepias syriaca,pink
