Species,Longitude,Latitude
bombus_233,-73.1094970703,43.8672294617
bombus_233,-73.1798090293,44.0273982578
bombus_233,-73.2333612442,44.5234216867
bombus_233,-73.004673,43.281951
bombus_233,-76.5965957642,40.4252243042
bombus_233,-72.504795,43.624319
bombus_233,-71.1473216667,42.38788
bombus_233,-72.905273,43.719505
bombus_233,-72.3963333333,43.5213333333
bombus_233,-73.057294,43.613073
bombus_233,-72.589,43.8538333333
bombus_233,-72.939195,43.629017
bombus_233,-72.955734,42.654362
bombus_233,-73.398894,44.030265
bombus_233,-73.352245,44.075637
bombus_233,-72.147131,44.763536
bombus_233,-83.472752,35.592949
bombus_233,-73.356013,44.069692
bombus_233,-77.560092,43.226749
bombus_233,-73.034631,43.697551
bombus_233,-70.9280366667,42.3198583333
bombus_233,-82.472351,35.547604
bombus_233,-72.612987,43.786766
bombus_233,-72.824167,44.19
bombus_233,-72.824167,44.19
bombus_233,-72.798033,43.669992
bombus_233,-73.033444,43.70932
bombus_233,-77.7417133333,43.1893166667
bombus_233,-72.8556572,41.6428324
bombus_233,-82.370427,35.544632
bombus_233,-74.55358,41.9263
bombus_233,-73.35906,44.067977
bombus_233,-73.302622,44.088667
bombus_233,-72.963982,44.197005
bombus_233,-78.450161,37.199484
bombus_233,-73.302622,44.088667
bombus_233,-77.360742,35.640174
bombus_233,-77.559847,43.232972
bombus_233,-78.4067016167,37.5314523167
bombus_233,-80.0600861111,40.5022111111
bombus_233,-72.281317,44.313432
bombus_233,-72.461311,44.340881
bombus_233,-72.455636,44.421398
bombus_233,-74.961336,38.957381
bombus_233,-72.461311,44.340881
bombus_233,-60.050141,46.039802
bombus_233,-78.858522512,35.0531457156
bombus_233,-60.16928084,46.23509423
bombus_233,-73.89875,40.93121
bombus_233,-73.538545,45.587537
bombus_233,-73.179413,44.596294
bombus_233,-78.0226833333,38.6819033333
bombus_233,-78.693566,45.598486
bombus_233,-82.830186,42.174161
bombus_233,-71.8860783333,43.153325
bombus_233,-77.067604,39.001743
bombus_233,-72.900769,43.713193
bombus_233,-72.709856,43.496282
bombus_233,-72.709942,43.496656
bombus_233,-82.813492,42.16971
bombus_233,-73.339178,44.695061
bombus_233,-72.905252,43.719458
bombus_233,-76.9905383333,38.9371033333
bombus_233,-76.94647,38.9119116667
bombus_233,-72.949017,43.652395
bombus_233,-73.331794,44.736297
bombus_233,-73.344425,44.691106
bombus_233,-79.674066,43.565643
bombus_233,-72.2420883333,43.7673633333
bombus_233,-73.109518,43.790841
bombus_233,-69.07563,44.227351
bombus_233,-72.5011416667,44.3763166667
bombus_233,-72.461311,44.340881
bombus_233,-73.099194,44.445443
bombus_233,-76.439015,40.048055
bombus_233,-81.886881,41.410926
bombus_233,-73.476648,42.471403
bombus_233,-73.476648,42.471403
bombus_233,-63.681261241,44.7278804563
bombus_233,-70.5570316315,41.6389879249
bombus_233,-78.6563257781,43.1619681605
bombus_233,-82.5378965401,35.6291669514
bombus_233,-75.651834,45.446771
bombus_233,-74.1705176979,40.9390770076
bombus_233,-77.0350780278,39.0590941389
bombus_233,-81.8100571632,41.4896408092
bombus_233,-81.9760691976,41.0015552678
bombus_233,-77.2468778119,38.8918925372
bombus_233,-77.2462016859,38.8871584567
bombus_233,-77.2451018602,38.8852603283
bombus_233,-83.6677330826,41.3644790417
bombus_233,-82.8145566,42.1690389
bombus_233,-83.0482198,42.2558298
bombus_233,-83.0482198,42.2558298
bombus_233,-83.81603193,39.935866
bombus_233,-83.8161623386,39.9357116456
bombus_233,-83.81299595,39.93410319
bombus_233,-77.2743094707,38.9011760252
