Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
5.98659E-6,0.000598659,0.055118319,1,0,0
6.44882E-6,0.001243541,0.059245479,0.999920823,0.000301205,0
7.20623E-6,0.002617604,0.065969402,0.99976247,0.000301205,0
7.38118E-6,0.005547866,0.067515584,0.999445764,0.000301205,0
7.77112E-6,0.010087493,0.070952812,0.998970705,0.00060241,0
8.45338E-6,0.025621066,0.076936371,0.99746635,0.000903614,0
9.16125E-6,0.050290197,0.083103678,0.995249406,0.001506024,0
1.07935E-5,0.101076894,0.097168152,0.991211401,0.003915663,0
1.24603E-5,0.200596132,0.111307442,0.984481394,0.006325301,0
1.35792E-5,0.300557503,0.12067535,0.978384798,0.009036145,0
1.43525E-5,0.400118412,0.12709123,0.972763262,0.010843373,0
1.50846E-5,0.500222377,0.133122044,0.967379256,0.012951807,0
1.59596E-5,0.600963921,0.140276152,0.962232779,0.014156627,0
1.67001E-5,0.700464539,0.146284186,0.957403009,0.015361446,0
1.6983E-5,0.751056724,0.148568398,0.955027712,0.016566265,0
1.72273E-5,0.800656618,0.15053578,0.952731591,0.01686747,0
1.77019E-5,0.900167213,0.154345697,0.948218527,0.019277108,0
1.8291E-5,1.000856775,0.15905018,0.94378464,0.021084337,0
1.87339E-5,1.100845056,0.162570416,0.939509105,0.022891566,0
1.91645E-5,1.201248738,0.165978638,0.935312747,0.023795181,0
1.95362E-5,1.301811155,0.168909062,0.931195566,0.02439759,0
1.98652E-5,1.400287466,0.17149427,0.927236738,0.024698795,0
2.03103E-5,1.500686434,0.174979245,0.92327791,0.026506024,0
2.1075E-5,1.751107198,0.180932593,0.913697546,0.030421687,0
2.18849E-5,2.000122556,0.187190935,0.904513064,0.03253012,0
2.25784E-5,2.251622685,0.192512058,0.895566112,0.034939759,0
2.32019E-5,2.501103075,0.197265621,0.886935867,0.037951807,0
2.39146E-5,2.750914662,0.202665706,0.878543151,0.038855422,0
2.45099E-5,3.000394529,0.207148591,0.870387965,0.040662651,0
2.50479E-5,3.250847102,0.211177661,0.862391132,0.04186747,0
2.55546E-5,3.501557662,0.214954188,0.854552652,0.043373494,0
2.5965E-5,3.751413354,0.217998814,0.846872526,0.044578313,0
2.6337E-5,4.002259402,0.220749626,0.839271576,0.046686747,0
2.66597E-5,4.251272488,0.22312688,0.831828979,0.047289157,0
2.69458E-5,4.500447277,0.225229584,0.824465558,0.047891566,0
2.7221E-5,4.752369136,0.227245954,0.817102138,0.049096386,0
2.75236E-5,5.001484922,0.229457385,0.80989707,0.050903614,0
2.78483E-5,5.250661073,0.231822725,0.80277118,0.051506024,0
2.81432E-5,5.502658111,0.233965344,0.795645289,0.051807229,0
2.84417E-5,5.751652911,0.236127965,0.788677751,0.052108434,0
2.86924E-5,6.00010717,0.237939016,0.78178939,0.052710843,0
2.89082E-5,6.250693948,0.239495065,0.774901029,0.053012048,0
2.91981E-5,6.5005902,0.24158021,0.768091845,0.054518072,0
2.94671E-5,6.752926871,0.243510271,0.76128266,0.055421687,0
2.97342E-5,7.00164994,0.24542135,0.754631829,0.057228916,0
3.00515E-5,7.252731618,0.247685422,0.747980998,0.05873494,0
3.03144E-5,7.500257412,0.24955615,0.741488519,0.059638554,0
3.05898E-5,7.752926423,0.251510768,0.734916865,0.060240964,0
3.08791E-5,8.001959693,0.253558575,0.728503563,0.060843373,0
3.12014E-5,8.250284021,0.255833193,0.722169438,0.061445783,0
3.15255E-5,8.501208857,0.258113793,0.715835313,0.063253012,0
3.18514E-5,8.751651533,0.260400076,0.709580364,0.064156627,0
3.22921E-5,9.001902587,0.263480836,0.703404592,0.065060241,0
3.2707E-5,9.252189569,0.266369194,0.697307997,0.065662651,0
3.30957E-5,9.502390476,0.269064379,0.691290578,0.06626506,0
3.3469E-5,9.751971837,0.271644354,0.685352336,0.068072289,0
3.38738E-5,10.00123439,0.274430698,0.67949327,0.070481928,0
3.42331E-5,10.253260406,0.276895449,0.673634204,0.071987952,0
3.46146E-5,10.501094525,0.279503515,0.667933492,0.072289157,0
3.5004E-5,10.751690722,0.28215547,0.662232779,0.073192771,0
3.54199E-5,11.001819339,0.284977727,0.656611243,0.074096386,0
3.57555E-5,11.250960951,0.287246748,0.651068884,0.075,0
3.6145E-5,11.502666158,0.289871054,0.645526524,0.076204819,0
3.64655E-5,11.753300714,0.292022826,0.640063341,0.076506024,0
3.68154E-5,12.002496447,0.294365331,0.634679335,0.077710843,0
3.71586E-5,12.25033779,0.296655043,0.629374505,0.079518072,0
3.75085E-5,12.500501321,0.298981872,0.624069675,0.080421687,0
3.79387E-5,12.753233304,0.301831706,0.618764846,0.081626506,0
3.83125E-5,13.001035291,0.304298832,0.613618369,0.08313253,0
3.86573E-5,13.251315754,0.306567413,0.608471892,0.085240964,0
3.91364E-5,13.500315854,0.309706477,0.603404592,0.086144578,0
3.96398E-5,13.7524769,0.312989555,0.598337292,0.088554217,0
4.01162E-5,14.003592281,0.316082348,0.593349169,0.090060241,0
4.05309E-5,14.253710897,0.318763067,0.588440222,0.09246988,0
4.09719E-5,14.502101685,0.321601933,0.583610451,0.094277108,0
4.13877E-5,14.753182096,0.324267966,0.578780681,0.096987952,0
4.19918E-5,15.003283368,0.328123117,0.574030087,0.09939759,0
4.2636E-5,15.252802965,0.332209697,0.56935867,0.101506024,0
4.30548E-5,15.501343176,0.334853216,0.564766429,0.103614458,0
4.3674E-5,15.752901849,0.338742173,0.560174188,0.104819277,0
4.4298E-5,16.003526287,0.342637988,0.555661124,0.106626506,0
4.49275E-5,16.253256505,0.346545785,0.551227237,0.109337349,0
4.54812E-5,16.501885997,0.349963134,0.546872526,0.111746988,0
4.60434E-5,16.753641221,0.353414879,0.542517815,0.113253012,0
4.66825E-5,17.004125322,0.357316365,0.53824228,0.115060241,0
4.73698E-5,17.253455217,0.361486229,0.534045922,0.115963855,0
4.79293E-5,17.501531589,0.364860631,0.529928741,0.11746988,0
4.87554E-5,17.752792607,0.36981033,0.52581156,0.118975904,0
4.92594E-5,18.002842313,0.372811127,0.521773555,0.120783133,0
4.98954E-5,18.250638178,0.376577531,0.517814727,0.121385542,0
5.05281E-5,18.501693757,0.380301668,0.513855899,0.123192771,0
5.123E-5,18.751104355,0.38440705,0.509976247,0.125301205,0
5.18094E-5,19.003358356,0.387776002,0.506096595,0.127710843,0
5.2419E-5,19.253472794,0.391300291,0.50229612,0.130120482,0
5.3064E-5,19.501353051,0.395007283,0.498574822,0.133433735,0
5.37918E-5,19.75247421,0.39916276,0.494853523,0.136445783,0
5.48759E-5,20.002238193,0.405299743,0.491211401,0.138855422,0
5.55696E-5,20.250887243,0.409194238,0.487648456,0.14126506,0
