Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.18756E-7,0.000091876,0.003005542,1,0,0
9.76859E-7,0.000189561,0.003195311,0.999905078,0,0
1.19638E-6,0.000309199,0.003911948,0.999810157,0,0
1.26185E-6,0.000558424,0.004125589,0.999620313,0,0
1.37105E-6,0.001087555,0.004481806,0.999240626,0,0
1.71792E-6,0.002532749,0.005612503,0.998386331,0,0
2.15998E-6,0.005114483,0.007051633,0.997152349,0,0
2.62987E-6,0.010146287,0.008579075,0.995158994,0,0
3.34337E-6,0.025098799,0.01089391,0.990602753,0,0
3.77747E-6,0.050162673,0.012299646,0.983958234,0,0
4.30392E-6,0.100243151,0.014001726,0.972282867,0,0
5.0735E-6,0.200154625,0.016484646,0.951969625,0,0
5.72154E-6,0.300338427,0.018570574,0.934314191,0,0
6.19278E-6,0.400522461,0.02008461,0.918367347,0.001492537,0
6.67249E-6,0.500539532,0.021623484,0.903559563,0.001492537,0
7.1658E-6,0.600213456,0.023203453,0.88989084,0.001492537,0
7.61928E-6,0.700304084,0.024653616,0.877076412,0.001492537,0
7.86966E-6,0.750676288,0.025453366,0.870906502,0.001492537,0
8.07119E-6,0.800035968,0.026096615,0.865021357,0.001492537,0
8.4774E-6,0.900796661,0.027391865,0.853440911,0.001492537,0
8.88525E-6,1.000455727,0.028690621,0.842524917,0.001492537,0
9.26231E-6,1.100178832,0.029889791,0.832083531,0.001492537,0
9.57305E-6,1.200119335,0.030876902,0.822021832,0.001492537,0
1.00163E-5,1.300011517,0.032283395,0.81233982,0.001492537,0
1.03501E-5,1.400791942,0.033340857,0.802942572,0.001492537,0
1.06612E-5,1.500612309,0.034325816,0.793925012,0.002985075,0
1.1429E-5,1.75020579,0.036751759,0.77247271,0.002985075,0
1.22825E-5,2.000739586,0.039441721,0.752349312,0.004477612,0
1.31303E-5,2.25062861,0.042106064,0.733744661,0.005970149,0
1.38636E-5,2.500592673,0.044404395,0.716184148,0.005970149,0
1.46178E-5,2.751055022,0.046762687,0.699477931,0.007462687,0
1.52399E-5,3.000146753,0.0487037,0.683626009,0.007462687,0
1.5894E-5,3.250618703,0.050740211,0.668343617,0.007462687,0
1.65791E-5,3.500681789,0.052868346,0.653725676,0.007462687,0
1.71766E-5,3.750781179,0.054720593,0.639677266,0.008955224,0
1.77474E-5,4.000283636,0.056486631,0.626103465,0.008955224,0
1.82562E-5,4.250616556,0.058058129,0.61290935,0.011940299,0
1.90071E-5,4.500416429,0.06037267,0.600189843,0.014925373,0
1.9543E-5,4.75082909,0.062020963,0.587850024,0.014925373,0
2.01692E-5,5.001375534,0.063943175,0.575889891,0.014925373,0
2.06792E-5,5.25070927,0.065506081,0.564309445,0.01641791,0
2.13151E-5,5.500610975,0.067450896,0.553013764,0.017910448,0
2.19212E-5,5.751408534,0.06930084,0.542002848,0.017910448,0
2.25875E-5,6.000567219,0.071330427,0.531371618,0.020895522,0
2.32232E-5,6.250318601,0.073262459,0.521025154,0.02238806,0
2.38265E-5,6.501743792,0.075092435,0.510868533,0.023880597,0
2.44408E-5,6.750602498,0.076951943,0.501091599,0.023880597,0
2.51429E-5,7.001055469,0.079072905,0.491504509,0.025373134,0
2.57542E-5,7.250564842,0.08091543,0.482202183,0.025373134,0
2.64301E-5,7.501336414,0.082948397,0.473089701,0.026865672,0
2.70027E-5,7.750021041,0.084667076,0.464261984,0.028358209,0
2.76104E-5,8.001323228,0.08648758,0.455529188,0.029850746,0
2.82128E-5,8.252403676,0.088288722,0.446986236,0.029850746,0
2.89114E-5,8.500837756,0.090373052,0.438728049,0.029850746,0
2.95221E-5,8.752176208,0.092191306,0.430564784,0.029850746,0
3.01346E-5,9.000129743,0.094011194,0.422686284,0.029850746,0
3.07385E-5,9.252488631,0.095801759,0.414807784,0.031343284,0
3.13399E-5,9.500823103,0.097581681,0.407214048,0.032835821,0
3.21128E-5,9.751378458,0.099864048,0.399715235,0.034328358,0
3.27517E-5,10.000921611,0.101746077,0.392406265,0.034328358,0
3.34423E-5,10.25263109,0.103776252,0.385192216,0.034328358,0
3.42258E-5,10.503024442,0.106073683,0.378168011,0.035820896,0
3.50967E-5,10.75260524,0.108620791,0.37133365,0.037313433,0
3.60279E-5,11.001458841,0.111336053,0.364689131,0.037313433,0
3.69036E-5,11.253100559,0.11388193,0.358139535,0.037313433,0
3.79198E-5,11.503446742,0.116827165,0.351779782,0.037313433,0
3.90057E-5,11.75311845,0.119963782,0.345609872,0.037313433,0
4.00105E-5,12.001938587,0.122855923,0.339629805,0.037313433,0
4.09163E-5,12.252978076,0.125455099,0.333744661,0.037313433,0
4.177E-5,12.500973863,0.127897741,0.328049359,0.03880597,0
4.26601E-5,12.750191112,0.130437384,0.32244898,0.040298507,0
4.38714E-5,13.001456277,0.133881327,0.316943522,0.041791045,0
4.4846E-5,13.250177081,0.136642385,0.311627907,0.043283582,0
4.59023E-5,13.504069823,0.139625133,0.306312292,0.043283582,0
4.68287E-5,13.754476524,0.142232645,0.301186521,0.046268657,0
4.7949E-5,14.001124613,0.145375125,0.296250593,0.052238806,0
4.90318E-5,14.252600333,0.14840149,0.291314665,0.055223881,0
5.00286E-5,14.504936241,0.151178063,0.286473659,0.056716418,0
5.1231E-5,14.753273451,0.154515287,0.281822496,0.056716418,0
5.26074E-5,15.002645454,0.158319371,0.277266255,0.056716418,0
5.37434E-5,15.252773809,0.161446119,0.272804936,0.056716418,0
5.50695E-5,15.50311232,0.165081308,0.268438538,0.056716418,0
5.62823E-5,15.753710276,0.168392405,0.264167062,0.056716418,0
5.74377E-5,16.003852052,0.17153446,0.259990508,0.06119403,0
5.83701E-5,16.25242292,0.174061332,0.255908875,0.067164179,0
5.98121E-5,16.500467266,0.177954139,0.251922164,0.070149254,0
6.12812E-5,16.754972398,0.181901162,0.247935453,0.074626866,0
6.2575E-5,17.002989865,0.185361702,0.244138586,0.074626866,0
6.35988E-5,17.255087005,0.188089408,0.240341718,0.076119403,0
6.50282E-5,17.500009655,0.191882953,0.236734694,0.07761194,0
6.63042E-5,17.756309559,0.195254211,0.233032748,0.079104478,0
6.74349E-5,18.003930904,0.198229627,0.229520645,0.082089552,0
6.92306E-5,18.250248135,0.202932742,0.226103465,0.082089552,0
7.03294E-5,18.501528348,0.205797176,0.222686284,0.085074627,0
7.17526E-5,18.756996552,0.209491682,0.219269103,0.088059701,0
7.29576E-5,19.002716944,0.212606298,0.216041766,0.088059701,0
7.4573E-5,19.253222956,0.216762442,0.212814428,0.088059701,0
7.60132E-5,19.501728806,0.2204494,0.209682012,0.091044776,0
7.74766E-5,19.754750863,0.224178115,0.206549597,0.092537313,0
7.89275E-5,20.005167503,0.227857077,0.203512103,0.094029851,0
8.0321E-5,20.251850508,0.231374341,0.20056953,0.097014925,0
8.19754E-5,20.503261423,0.235529152,0.197626958,0.1,0
8.35714E-5,20.751655441,0.239516087,0.194779307,0.104477612,0
8.50613E-5,21.004660893,0.243219222,0.191931656,0.108955224,0
8.59598E-5,21.252616358,0.245443688,0.189178927,0.111940299,0
8.73291E-5,21.503625169,0.248821139,0.186426198,0.11641791,0
8.9152E-5,21.750823717,0.253293896,0.183768391,0.11641791,0
9.0894E-5,22.003025767,0.257543374,0.181110584,0.119402985,0
9.27865E-5,22.250449266,0.26213274,0.178547698,0.125373134,0
9.44283E-5,22.503173564,0.266090852,0.175984813,0.126865672,0
9.67766E-5,22.751831274,0.271715584,0.173516849,0.129850746,0
9.85574E-5,23.005842374,0.275952333,0.171048885,0.131343284,0
1.0049E-4,23.255019821,0.280522465,0.168675842,0.13880597,0
1.02252E-4,23.508421086,0.284663318,0.1663028,0.141791045,0
1.04324E-4,23.756008313,0.28950341,0.16402468,0.143283582,0
1.06151E-4,24.008431122,0.293742972,0.161746559,0.150746269,0
1.08819E-4,24.255462411,0.299889316,0.15956336,0.153731343,0
1.12229E-4,24.509745375,0.307668934,0.157380161,0.155223881,0
1.14387E-4,24.759019929,0.312544756,0.155291884,0.158208955,0
1.16626E-4,25.001655639,0.3175689,0.153298529,0.162686567,0
1.20088E-4,25.250419774,0.325266613,0.151305173,0.164179104,0
1.23692E-4,25.506164505,0.33318683,0.149311818,0.168656716,0
1.26885E-4,25.757403818,0.340125929,0.147413384,0.171641791,0
1.29847E-4,26.001151932,0.34649784,0.145609872,0.179104478,0
1.33438E-4,26.251327881,0.354141358,0.14380636,0.186567164,0
1.35834E-4,26.507499458,0.359192514,0.142002848,0.192537313,0
1.39315E-4,26.754957906,0.366458185,0.140294257,0.195522388,0
1.43614E-4,27.010055198,0.375319551,0.138585667,0.201492537,0
1.47707E-4,27.25793226,0.383639343,0.136971998,0.207462687,0
1.51017E-4,27.512499094,0.390288742,0.135358329,0.211940299,0
1.54524E-4,27.757009746,0.397253689,0.133839582,0.217910448,0
1.57864E-4,28.006864478,0.403813273,0.132320835,0.217910448,0
1.61661E-4,28.262635647,0.411183954,0.130802088,0.223880597,0
