Species,Longitude,Latitude
hummingbird_75,-121.9529992,37.2770029
hummingbird_75,-118.4743523598,34.0768414083
hummingbird_75,-121.875524,47.845174
hummingbird_75,-116.962278,32.702833
hummingbird_75,-122.885,47.1004
hummingbird_75,-110.849712,31.496869
hummingbird_75,-110.760638,31.539155
hummingbird_75,-110.248489,31.420277
hummingbird_75,-110.7569614001,31.5410185392
hummingbird_75,-110.8759928142,31.7267190362
hummingbird_75,-98.0669,30.2977
hummingbird_75,-118.6822987,34.0333857
hummingbird_75,-118.2923355,33.7858769
hummingbird_75,-116.3875937,33.1386472
hummingbird_75,-122.511778,37.781774
hummingbird_75,-122.501022,37.787078
hummingbird_75,-118.1722419,34.1919919
hummingbird_75,-122.8556962107,38.6386039652
hummingbird_75,-116.4061224,33.257811
hummingbird_75,-110.8106666667,32.3155
hummingbird_75,-122.4042514,37.2627144
hummingbird_75,-122.419946,37.720264
hummingbird_75,-122.2393504,47.4769649
hummingbird_75,-117.0331693,32.8411642
hummingbird_75,-117.1441913,32.7408115
hummingbird_75,-122.1088306838,36.9841104688
hummingbird_75,-117.2184884548,32.8375823957
hummingbird_75,-122.4044505,47.6583075
hummingbird_75,-118.290019,34.016975
hummingbird_75,-121.857004163,37.9512242983
hummingbird_75,-116.036937,34.1293429
hummingbird_75,-118.2073411345,34.2039586181
hummingbird_75,-117.2449932,32.68582
hummingbird_75,-117.2449932,32.68582
hummingbird_75,-117.2449932,32.68582
hummingbird_75,-122.173376,37.4922
hummingbird_75,-116.887002,32.859576
hummingbird_75,-110.31577,24.100595
hummingbird_75,-116.545957,33.80102
hummingbird_75,-122.427447,37.805348
hummingbird_75,-122.4525966667,37.8012
hummingbird_75,-103.436716,25.532674
hummingbird_75,-98.809361,29.828564
hummingbird_75,-122.519059,38.206016
hummingbird_75,-122.757656,37.997758
hummingbird_75,-84.564,34.136
hummingbird_75,-118.001685,34.081945
hummingbird_75,-120.719603,35.338295
hummingbird_75,-99.784323,29.229651
hummingbird_75,-122.306814,47.657595
hummingbird_75,-122.4593883333,37.8036583333
hummingbird_75,-122.084026,37.372306
hummingbird_75,-122.443845,37.471986
hummingbird_75,-123.129065,49.227532
hummingbird_75,-122.449495,37.8065083333
hummingbird_75,-122.4914527965,37.6196843433
