Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
2.83913E-5,0.00283913,0.24545146,1,0,0
2.97037E-5,0.005809497,0.255210818,0.999908925,0,0
3.27421E-5,0.012253548,0.277324208,0.999726776,0,0
3.61102E-5,0.026198385,0.301070503,0.999362477,0,0
3.67114E-5,0.051734967,0.30522675,0.998724954,0,0
3.72484E-5,0.103537247,0.308917888,0.997449909,0,0
3.79744E-5,0.201375107,0.313877016,0.995081967,0,0
3.88733E-5,0.30127706,0.319967434,0.992714026,0,0
3.99251E-5,0.403851266,0.3270259,0.990346084,0,0
4.07103E-5,0.500776181,0.332247171,0.988160291,0,0
4.12429E-5,0.603187125,0.335765824,0.985883424,0,0
4.16102E-5,0.702634359,0.338181839,0.983697632,0,0.00330033
4.17251E-5,0.752644616,0.338935936,0.982604736,0,0.00330033
4.18295E-5,0.802774954,0.339620004,0.98151184,0,0.00330033
4.21147E-5,0.903504148,0.341485843,0.979326047,0,0.00330033
4.22977E-5,1.000621254,0.342679803,0.97723133,0.000825083,0.00330033
4.25276E-5,1.102459844,0.344177289,0.975045537,0.001650165,0.00330033
4.26602E-5,1.200421098,0.345039463,0.97295082,0.002475248,0.00330033
4.28928E-5,1.303125812,0.34654872,0.970765027,0.002475248,0.00330033
4.30628E-5,1.401998365,0.347649808,0.96867031,0.00330033,0.00660066
4.32183E-5,1.501217712,0.348655279,0.966575592,0.004125413,0.00660066
4.35841E-5,1.753018216,0.351014508,0.96129326,0.007425743,0.00660066
4.38859E-5,2.002192975,0.352954704,0.956102004,0.010726073,0.01320132
4.41985E-5,2.253153227,0.354957758,0.950910747,0.010726073,0.01320132
4.45229E-5,2.501651329,0.35703059,0.945810565,0.011551155,0.01320132
4.48187E-5,2.751804941,0.358914293,0.940710383,0.014026403,0.01650165
4.51027E-5,3.003678107,0.360718046,0.9356102,0.014026403,0.01650165
4.53391E-5,3.252352194,0.362214963,0.930601093,0.015676568,0.01650165
4.56813E-5,3.502671222,0.364376176,0.925591985,0.017326733,0.01650165
