Species,Longitude,Latitude
red_247,-97.81806,30.416777
red_247,-97.165607,28.737804
red_247,-100.33968,25.660081
red_247,-99.536991,24.795555
red_247,-100.524559,26.311451
red_247,-98.526088,29.570881
red_247,-97.647772,30.693507
red_247,-97.362948,32.738934
red_247,-100.2453005556,25.6715316667
red_247,-96.994174,33.046233
red_247,-100.253545,25.665844
red_247,-97.650508,30.216717
red_247,-100.486279,25.637596
red_247,-98.2672501531,26.2051758326
red_247,-100.962558,29.257124
red_247,-103.836262,30.536215
red_247,-103.836159,30.536291
red_247,-97.1141662598,32.7844429016
red_247,-97.1158370972,32.7833328247
red_247,-103.524087,29.138172
red_247,-103.524087,29.138172
red_247,-100.2325,24.8725
red_247,-97.726071,30.181557
red_247,-100.2064971924,25.632144928
red_247,-97.11646253,32.78459966
red_247,-100.2062505484,25.6331872313
red_247,-101.4091416667,26.81363
red_247,-100.61032538,26.52209224
red_247,-97.1128463745,32.7321166992
red_247,-96.9035926,32.7255852
red_247,-100.3631007671,25.8661746197
red_247,-97.6627927926,32.4345473852
red_247,-99.7887283333,25.178745
red_247,-97.4046134949,27.6560376492
red_247,-95.6193152,29.8602932
red_247,-100.2174606323,26.4851264954
red_247,-100.217086792,26.4823436737
red_247,-95.4033666667,30.040475
red_247,-103.836939,30.5413395
red_247,-100.21508,26.48784
red_247,-97.9580712,26.1283176
red_247,-97.9580712,26.1283176
red_247,-97.9640111111,30.3443055556
red_247,-100.361888409,25.9227601566
red_247,-100.2695316667,25.5494490278
red_247,-97.342944,26.216401
red_247,-97.8519798876,30.2017883506
red_247,-96.7329347134,32.8274155754
red_247,-100.9402083333,25.2717033333
red_247,-98.1113755703,30.3796228249
red_247,-97.7539726,30.2871556
red_247,-103.9304966667,29.1146305
red_247,-97.9355216493,29.5891421708
red_247,-97.7061916667,30.24645
red_247,-97.8111666442,30.2410989208
red_247,-97.7247289,30.2208102
red_247,-97.7618116547,30.2274444937
red_247,-106.5675272328,32.3720753426
red_247,-97.6938633333,30.24073
red_247,-99.5820483333,24.8291983333
red_247,-97.7859257527,30.3661277014
red_247,-97.7112969384,30.2908238727
red_247,-97.5481719971,39.2643966675
red_247,-106.5772222222,32.3144444444
red_247,-97.722523,30.179867
red_247,-104.2494821548,25.8676677582
red_247,-100.6888413979,25.547880235
red_247,-97.9296968,29.8941389
red_247,-96.7661514282,30.7964439392
red_247,-97.70603,30.246475
red_247,-98.0995333333,29.693925
red_247,-100.4199897425,25.7185064405
red_247,-106.72048,32.420202
red_247,-106.5576095556,32.3655509722
red_247,-97.4381273125,28.0749195173
red_247,-95.454055,29.7611416667
red_247,-100.9664993286,29.4325962067
red_247,-97.1545555,33.1329583333
red_247,-100.7355633333,24.7539366667
red_247,-98.4523713102,29.3234796536
red_247,-95.2943878174,30.0291061401
red_247,-97.6904216667,30.2407283333
red_247,-95.4520699488,29.7651734572
red_247,-95.4521481562,29.7651706096
red_247,-100.1683775564,25.3556120243
red_247,-95.2945692,30.0276869489
