Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
9.7485E-6,0.00097485,0.071323685,1,0,0
9.79048E-6,0.001953898,0.071619615,0.99990933,0,0
9.86612E-6,0.00294051,0.072152426,0.99981866,0,0
1.0007E-5,0.005929464,0.073144402,0.99954665,0,0
1.00624E-5,0.010953172,0.073533501,0.999093299,0,0
1.02999E-5,0.025228499,0.075202195,0.997823919,0,0
1.06735E-5,0.050427716,0.077820954,0.995647838,0,0
1.14196E-5,0.100055283,0.083028989,0.991567685,0,0
1.20139E-5,0.201017794,0.087156018,0.983770061,0,0
1.25738E-5,0.300547915,0.091027419,0.976425787,0,0
1.30625E-5,0.400464802,0.09439268,0.969353523,0,0
1.34369E-5,0.500964734,0.09696276,0.962462599,0,0
1.37688E-5,0.600373171,0.099235064,0.955843685,0,0
1.40636E-5,0.700532199,0.101248449,0.949315441,0,0
1.42242E-5,0.750019168,0.102343127,0.946141989,0,0
1.43502E-5,0.80003018,0.103201233,0.942968537,0,0
1.46216E-5,0.901430031,0.105046721,0.936621634,0,0
1.48702E-5,1.000166129,0.106733933,0.93054674,0,0
1.51137E-5,1.100691145,0.108383389,0.924471847,0,0
1.5438E-5,1.201411453,0.110575629,0.918487624,0,0
1.57144E-5,1.301059093,0.112439537,0.91268474,0,0
1.599E-5,1.400963694,0.114294354,0.906972527,0,0
1.61905E-5,1.50064054,0.115641018,0.901350984,0,0
1.68352E-5,1.751438233,0.119958449,0.887569136,0,0
1.74233E-5,2.000046827,0.12387817,0.874421978,0,0
1.81038E-5,2.2514977,0.128391745,0.861546831,0,0
1.88182E-5,2.500511168,0.133105428,0.849306374,0,0
1.98027E-5,2.751445231,0.139559373,0.837519267,0,0
2.08694E-5,3.000981874,0.146497683,0.826366851,0,0
2.21102E-5,3.250215919,0.154498493,0.815849125,0,0
2.33768E-5,3.500941416,0.16258808,0.805875419,0.000775795,0
2.46358E-5,3.750656257,0.170552441,0.796445734,0.000775795,0
2.58731E-5,4.000580951,0.178306045,0.787469399,0.00155159,0
2.69397E-5,4.251412201,0.184931348,0.778855744,0.00155159,0
2.81905E-5,4.502026551,0.192633338,0.770604769,0.002327386,0
2.94018E-5,4.752693622,0.200022106,0.762716475,0.003878976,0
3.03753E-5,5.001062529,0.205912137,0.75519086,0.004654771,0
3.14207E-5,5.251451518,0.212187778,0.747846586,0.005430566,0
3.24707E-5,5.500855897,0.218442068,0.740774322,0.005430566,0.00621118
3.34521E-5,5.751585528,0.224242042,0.733883398,0.005430566,0.00621118
3.44527E-5,6.002650998,0.230111699,0.727173814,0.005430566,0.00931677
3.52323E-5,6.25003365,0.234654023,0.720736241,0.006206362,0.00931677
3.58992E-5,6.502439426,0.238518716,0.714298667,0.007757952,0.00931677
3.64751E-5,6.751967337,0.241839716,0.708042434,0.009309542,0.01242236
3.70965E-5,7.00209037,0.245407539,0.70187687,0.011636928,0.01242236
3.77272E-5,7.252756711,0.249011215,0.695801977,0.013188518,0.01863354
3.84514E-5,7.500515242,0.253128258,0.689908423,0.013188518,0.01863354
3.90657E-5,7.752704263,0.256602321,0.68401487,0.013964313,0.01863354
3.97147E-5,8.000990322,0.26025586,0.678302657,0.013964313,0.02173913
4.03688E-5,8.253518422,0.263919371,0.672590443,0.014740109,0.02484472
4.09562E-5,8.501417696,0.267193814,0.66705957,0.015515904,0.027950311
4.15415E-5,8.753158318,0.270442045,0.661528697,0.016291699,0.031055901
4.21291E-5,9.000013866,0.273689072,0.656179164,0.017843289,0.031055901
4.27571E-5,9.250462797,0.277143045,0.650829631,0.018619085,0.034161491
4.34417E-5,9.500795893,0.280889264,0.645570768,0.02094647,0.034161491
4.40005E-5,9.754382726,0.283932764,0.640311905,0.021722265,0.037267081
4.46183E-5,10.002594881,0.287283313,0.635234382,0.022498061,0.037267081
4.51208E-5,10.253977229,0.289996463,0.630156859,0.024825446,0.037267081
4.55896E-5,10.503455203,0.292518323,0.625170006,0.026377036,0.040372671
4.59772E-5,10.750585845,0.294596416,0.620273824,0.026377036,0.040372671
4.64991E-5,11.000176963,0.297385326,0.615377641,0.027928627,0.043478261
4.70164E-5,11.252563075,0.300138984,0.610481458,0.029480217,0.046583851
4.75027E-5,11.502975392,0.302717583,0.605675945,0.031031808,0.046583851
4.80944E-5,11.751733971,0.30584201,0.600961103,0.031807603,0.052795031
4.85283E-5,12.003055153,0.308124533,0.59624626,0.033359193,0.052795031
4.90853E-5,12.252106949,0.311043483,0.591622087,0.034134988,0.052795031
4.96054E-5,12.503899918,0.313758112,0.586997915,0.034910784,0.052795031
5.00938E-5,12.753393359,0.316297354,0.582464412,0.037238169,0.055900621
5.05682E-5,13.005028057,0.318754804,0.577930909,0.041117145,0.059006211
5.0969E-5,13.253885891,0.320824338,0.573488077,0.041117145,0.059006211
5.13822E-5,13.504621144,0.322950885,0.569045244,0.042668735,0.059006211
5.1823E-5,13.752478709,0.325212323,0.564693082,0.047323507,0.059006211
5.23037E-5,14.002223514,0.327670002,0.560340919,0.047323507,0.059006211
5.2821E-5,14.254545389,0.330305092,0.555988757,0.049650892,0.059006211
5.32621E-5,14.503843776,0.332543383,0.551727264,0.051202483,0.068322981
5.3754E-5,14.750042078,0.335030669,0.547556442,0.055081458,0.077639752
5.41237E-5,15.003574495,0.336894143,0.54329495,0.058184639,0.083850932
5.45589E-5,15.253612936,0.33908103,0.539124127,0.060512025,0.086956522
5.50637E-5,15.500471607,0.341608564,0.535043975,0.065942591,0.086956522
5.56205E-5,15.754986807,0.344385219,0.530873153,0.067494182,0.086956522
5.60769E-5,16.000886831,0.346652589,0.52688367,0.069045772,0.090062112
5.64819E-5,16.254161809,0.348657997,0.522803518,0.071373157,0.090062112
5.7E-5,16.503823817,0.351214319,0.518814036,0.074476338,0.093167702
5.73425E-5,16.75544287,0.352898919,0.514824553,0.075252133,0.093167702
5.78898E-5,17.003153548,0.355581744,0.510925741,0.076027929,0.093167702
5.83494E-5,17.253016783,0.357825665,0.507026929,0.077579519,0.093167702
5.88652E-5,17.505091568,0.360334851,0.503128117,0.079131109,0.093167702
5.94726E-5,17.753651723,0.363277236,0.499319975,0.0806827,0.096273292
6.00556E-5,18.004625076,0.366088632,0.495511832,0.081458495,0.102484472
6.06906E-5,18.252142961,0.369136911,0.49179436,0.083785881,0.102484472
6.12543E-5,18.502128742,0.371830452,0.488076888,0.086889061,0.105590062
6.17532E-5,18.75439151,0.374204445,0.484359416,0.089992242,0.108695652
6.22417E-5,19.00243244,0.376520885,0.480732614,0.092319628,0.111801242
6.28063E-5,19.252541927,0.379186876,0.477105812,0.096974399,0.114906832
6.34263E-5,19.505146292,0.382101629,0.47347901,0.098525989,0.118012422
6.39352E-5,19.753571553,0.38448355,0.469942878,0.10162917,0.121118012
6.45195E-5,20.00427599,0.38720763,0.466406746,0.10162917,0.127329193
6.49956E-5,20.250281805,0.389417911,0.462961284,0.102404965,0.127329193
6.54786E-5,20.504803872,0.391652297,0.459425152,0.104732351,0.130434783
6.59501E-5,20.754616266,0.393825847,0.45597969,0.106283941,0.133540373
6.64441E-5,21.006033088,0.396094294,0.452534228,0.108611327,0.139751553
6.69444E-5,21.252794135,0.398383274,0.449179436,0.110162917,0.139751553
6.76118E-5,21.50182638,0.40142349,0.445824644,0.113266098,0.145962733
6.81907E-5,21.753185957,0.404048042,0.442469852,0.116369279,0.149068323
6.8804E-5,22.006427604,0.406815684,0.43911506,0.120248254,0.155279503
6.92923E-5,22.255007385,0.409010339,0.435850938,0.12412723,0.158385093
6.9911E-5,22.505559339,0.4117793,0.432586817,0.124903026,0.158385093
7.04385E-5,22.751117653,0.41412981,0.429413365,0.128006206,0.158385093
7.11333E-5,23.005824727,0.417211369,0.426149243,0.130333592,0.158385093
7.16274E-5,23.255742161,0.419392984,0.422975791,0.131885182,0.158385093
7.21413E-5,23.507175154,0.421653371,0.419802339,0.136539953,0.161490683
7.25661E-5,23.753168945,0.423514832,0.416719558,0.138867339,0.167701863
7.29015E-5,24.000520664,0.424980595,0.413636776,0.145073701,0.167701863
7.34484E-5,24.256710856,0.427362878,0.410463324,0.146625291,0.170807453
7.41605E-5,24.500263483,0.430449648,0.407471212,0.148952676,0.177018634
7.46952E-5,24.75335265,0.432756419,0.404388431,0.155934833,0.180124224
7.53063E-5,25.000834303,0.435381714,0.401396319,0.158262219,0.186335404
7.59833E-5,25.250583683,0.438275513,0.398404207,0.163692785,0.192546584
7.64125E-5,25.502114854,0.440102697,0.395412095,0.167571761,0.195652174
7.69192E-5,25.755176518,0.442252022,0.392419984,0.172226532,0.198757764
7.75748E-5,26.002094363,0.445020382,0.389518542,0.177657099,0.204968944
7.80905E-5,26.251092225,0.447188781,0.3866171,0.183087665,0.208074534
7.87054E-5,26.502022002,0.449762574,0.383715659,0.18541505,0.208074534
7.9314E-5,26.754967462,0.452298545,0.380814217,0.188518231,0.211180124
7.97655E-5,27.001516359,0.454172452,0.378003445,0.192397207,0.220496894
8.03857E-5,27.257586585,0.456736016,0.375102004,0.197051978,0.226708075
8.11693E-5,27.507965375,0.459957699,0.372291232,0.20325834,0.226708075
8.17628E-5,27.752416315,0.462384984,0.369571131,0.20480993,0.226708075
8.21989E-5,28.006651853,0.464161757,0.366760359,0.207137316,0.226708075
