Species,Longitude,Latitude
red_306,-100.723386,24.937993
red_306,-97.688542,30.253241
red_306,-100.967295,29.262328
red_306,-97.42057,25.8510883333
red_306,-97.530292,25.985454
red_306,-97.253525,25.9628383333
red_306,-97.25383,25.9627833333
red_306,-98.3883318217,26.3061647001
red_306,-98.266418,26.206171
red_306,-97.9567666667,26.1261966667
red_306,-99.521284,24.827606
red_306,-97.418596,25.851104
red_306,-97.418767,25.850023
red_306,-97.253594,25.963061
red_306,-97.9580712,26.1283176
red_306,-97.2776343673,32.9055198578
red_306,-97.1146494534,32.7895354524
red_306,-97.1156695,32.783405
red_306,-101.1281087993,27.8499448525
red_306,-97.7709116667,30.3119466667
red_306,-99.5381551981,24.7955834138
red_306,-97.6848415566,30.401496361
red_306,-104.0547688251,24.9443709018
red_306,-97.7345884033,30.2833646257
red_306,-100.2409033333,25.6611
red_306,-100.256561748,25.6621168187
red_306,-100.9686040878,29.2501226527
red_306,-97.77162,30.312974
red_306,-100.246424675,24.3908404671
red_306,-95.4515216667,29.6991783333
red_306,-98.1497955322,26.0734367675
red_306,-99.5397045555,24.7990841759
red_306,-106.5476074167,32.3582381944
red_306,-99.1157695,26.5143216667
red_306,-97.9885863048,26.1466469709
red_306,-95.922705,29.9275633333
red_306,-101.48437717,27.87620664
red_306,-95.4519416667,29.6997666667
red_306,-99.1152801514,26.5144443512
red_306,-99.1500015259,26.587223053
red_306,-97.9889466108,26.1469965569
red_306,-102.8399734497,28.710149765
red_306,-98.1346583333,26.0780444444
red_306,-97.957778,26.126111
red_306,-100.2708892822,25.5483455656
red_306,-97.9580457479,26.1270154264
red_306,-98.140819,26.076289
red_306,-100.96415247,29.2601309596
red_306,-97.997198,26.159153
red_306,-101.385333,29.784715
red_306,-103.2964598385,29.2463586322
red_306,-97.73296333,30.26637
red_306,-97.663795,26.18641167
red_306,-95.6365972568,29.7509589979
red_306,-97.719642596,26.1749770389
red_306,-97.7201809198,26.1751640822
red_306,-103.8369044289,25.6140017179
red_306,-97.3472083547,26.2286099559
red_306,-97.98818833,26.1474695
red_306,-98.13528333,26.29065833
red_306,-97.6627223476,26.185648391
red_306,-97.6638065838,26.1860860465
red_306,-98.2301046261,26.1756380594
red_306,-98.2301770457,26.1746908468
red_306,-98.2309019148,26.1763963053
red_306,-97.4161550404,25.8514775802
red_306,-97.95791667,26.1268555
red_306,-97.6961865657,26.1887864679
red_306,-97.69289732,26.1821589682
red_306,-100.1689342222,25.9474845833
red_306,-103.2258806192,29.3110953318
red_306,-97.66217,26.187095
red_306,-98.1436305,26.06135283
red_306,-98.229820962,26.1760353298
red_306,-100.412604865,25.7124081105
red_306,-101.5441454574,27.0554305471
red_306,-95.56467,29.9884
red_306,-95.56346,29.98967
red_306,-97.66246167,26.18741167
red_306,-98.1347783333,26.290555
red_306,-98.137972,26.080743
red_306,-97.66403,26.1856016667
red_306,-97.663565,26.1866833333
red_306,-98.4970777953,29.3923607727
red_306,-98.4450258981,26.264226866
red_306,-97.4205727127,25.8461996327
red_306,-95.5805384657,28.8907315307
red_306,-98.3668133333,26.1762266667
red_306,-98.365285,26.176895
red_306,-98.3662033333,26.1762033333
red_306,-98.2293674606,26.1760254041
red_306,-96.7227374218,32.9238887226
red_306,-101.3954059722,29.789688
red_306,-97.1882014723,26.2484190334
red_306,-100.8326051914,25.3180522724
red_306,-98.3427666667,29.691855
red_306,-98.1356195,26.2919116667
red_306,-97.3499678,27.7279235
red_306,-98.3661633333,26.1798383333
red_306,-98.380675418,26.1855546165
red_306,-97.5683395252,25.9968523134
red_306,-100.2341079711,24.8727607725
red_306,-100.0231441856,29.8488948355
red_306,-97.1645442,32.7037019
red_306,-100.23248291,24.8722553253
red_306,-98.36561,26.1792583333
red_306,-103.9100636935,26.5756260648
red_306,-95.5845190164,28.8831038851
red_306,-97.5302291,25.9894162
red_306,-97.9584789487,26.1242896554
red_306,-100.4122703477,25.7515075635
red_306,-99.0178528333,26.4057666667
red_306,-97.671156578,28.6210845218
red_306,-100.4705825,25.6407008997
red_306,-104.8432533333,31.8945783333
red_306,-103.319,29.2036033333
red_306,-97.3470306396,26.2291698456
red_306,-103.3111152649,29.3341306412
red_306,-103.3111152649,29.3341306412
red_306,-97.6552226767,30.3615387
red_306,-104.84327,31.8944383333
red_306,-101.002676268,29.6759858159
red_306,-97.95845,26.1245195
red_306,-97.1751116667,26.1401666667
red_306,-97.1396089846,32.7576411237
red_306,-98.65458316,25.8004045354
red_306,-98.2297673,26.1767406
red_306,-98.2297673,26.1767406
red_306,-98.3657133333,26.1797966667
red_306,-98.3794416667,26.1854283333
red_306,-99.737205,29.5834916667
red_306,-97.89991172,30.50566254
red_306,-101.2961080833,27.9183177222
red_306,-99.58172,29.82157
red_306,-95.5803080997,29.3720208997
red_306,-106.6863709722,24.4235269722
red_306,-99.5805883333,29.8195283333
red_306,-97.9963833333,26.1592555
red_306,-97.8558959961,28.823841095
red_306,-98.4738922958,27.5543624629
red_306,-98.45427227,29.55596164
red_306,-104.8282783333,31.9172616667
red_306,-98.454375185,29.5561412402
red_306,-97.9519287921,26.1259138823
red_306,-98.48333921,29.87127777
red_306,-96.9845274278,28.1298196782
red_306,-100.5881776661,28.7453315089
red_306,-98.39273845,29.2568415
red_306,-99.571,29.819
red_306,-98.5363981467,29.4542822484
red_306,-106.6974469722,24.4112159722
red_306,-99.5701785179,29.2692993462
red_306,-97.1678111111,26.0986583333
red_306,-100.991732555,29.9010659541
red_306,-99.5894083333,29.825525
red_306,-99.5866397122,29.8260636571
red_306,-100.26988,25.549613
red_306,-97.9579566667,26.12644
red_306,-98.1362283333,26.081235
red_306,-103.303895,29.2379133333
red_306,-97.9513466667,26.1263566667
red_306,-97.6640488,26.1859224
red_306,-98.3664926,26.179835
red_306,-97.6961026,26.1906306
red_306,-98.3661063617,26.1788587108
red_306,-100.2826432139,25.595555596
red_306,-98.2297673,26.1767406
red_306,-98.2297673,26.1767406
red_306,-97.377385134,28.6466885638
red_306,-106.4458336379,31.7499534773
red_306,-97.8635983333,27.469925
red_306,-104.6603637189,24.2649020323
red_306,-97.9583666667,26.1244916667
red_306,-97.951705,26.126075
red_306,-97.4940569,26.1016317
red_306,-99.1117388333,26.5350116667
red_306,-99.46218,27.3516216667
red_306,-97.9568771997,26.1266083997
red_306,-100.3009854,25.7030997
red_306,-100.3069225699,25.6435566217
red_306,-98.1741633333,26.3054083333
red_306,-103.5826682299,25.496241753
red_306,-97.7557601929,28.4007072449
red_306,-99.7298052778,29.5754463333
red_306,-98.2298102153,26.1753733506
red_306,-98.2297673,26.1767406
red_306,-98.2297673,26.1767406
red_306,-97.8849638889,28.0644277778
red_306,-103.5826359596,25.4960507713
red_306,-100.2059020994,25.6345901489
red_306,-102.791395359,30.8934385266
red_306,-102.791395359,30.8934385266
red_306,-100.1644640788,26.4810340708
red_306,-80.869729022,28.637420349
red_306,-80.2801766061,25.7223832794
red_306,-80.6799240112,28.4048137665
red_306,-80.8047633333,35.2067533333
red_306,-80.81353,33.8110883333
red_306,-80.1167055,26.389045
red_306,-80.8142083333,28.5549583333
red_306,-77.9162916667,24.7773216667
red_306,-79.02585,35.9341939722
red_306,-80.22557,26.3792883333
red_306,-80.6394821479,25.3897316432
red_306,-116.4428916667,33.015205
red_306,-116.5615533333,33.7795716667
red_306,-116.14127,34.02626
red_306,-116.4192789328,33.2710708771
red_306,-116.424553916,33.273148709
red_306,-116.425117096,33.2761213091
red_306,-116.4298046754,33.2782332134
red_306,-116.432105,33.2800566667
red_306,-116.55458,33.8096966667
red_306,-116.4284007066,33.2781443233
red_306,-116.4285084141,33.2780452911
