Species,Longitude,Latitude
white_15,-101.988144,26.735971
white_15,-98.136492,26.291568
white_15,-100.351908,25.788623
white_15,-100.352059,25.78955
white_15,-97.6754281764,30.2855202835
white_15,-100.2708161111,25.5486452778
white_15,-100.2708111111,25.5488258333
white_15,-95.399044,30.038875
white_15,-97.623492,32.629518
white_15,-100.3465998173,25.7894006297
white_15,-97.6644597016,32.4344421085
white_15,-97.6644597016,32.4344421085
white_15,-97.6644597016,32.4344421085
white_15,-97.174214422,26.1372966446
white_15,-95.7283325195,30.6377773285
white_15,-98.2298,26.176788
white_15,-100.022105835,26.6868828951
white_15,-97.3989701271,26.3481014359
white_15,-97.172653377,26.1379860085
white_15,-98.2296943889,26.1750808056
white_15,-100.3452439606,25.6763557904
white_15,-100.3452318907,25.6763763023
white_15,-100.3443145752,25.6751037027
white_15,-100.34513399,25.6760224707
white_15,-100.3455322981,25.6761301587
white_15,-100.3446578979,25.6749296511
white_15,-100.4275702374,25.7678572181
white_15,-97.7222084999,30.2459620016
white_15,-98.26543428,26.1987352184
white_15,-100.0106887817,25.0627765656
white_15,-100.070092231,25.0152889084
white_15,-100.4337472222,31.4738666667
white_15,-95.4509321827,29.7662502078
white_15,-98.4261252546,30.1040302869
white_15,-99.8993420951,24.7200791059
white_15,-100.3501133333,25.6020883333
white_15,-98.63195841,29.6407864
white_15,-106.612266,32.292353
white_15,-98.3563533333,30.7479533333
white_15,-98.3574216667,30.7490383333
white_15,-96.1427651636,30.2754393566
white_15,-98.3586116667,30.748745
white_15,-97.1742934,26.1374822
white_15,-98.3575216667,30.7489866667
white_15,-99.7991416667,30.4192833333
white_15,-95.0534409899,29.4898103492
white_15,-98.6572583333,29.6101883333
white_15,-102.1210948095,31.9622766354
white_15,-97.839545,30.4947783333
white_15,-98.82042,30.5027166667
white_15,-98.193031,26.189765
white_15,-98.193086,26.189717
white_15,-98.193063,26.189794
white_15,-96.9565472222,32.63785
white_15,-98.1923904419,26.1897525787
white_15,-95.4537199537,29.7654733333
white_15,-97.8631533333,30.2402033333
white_15,-98.0880352266,30.0015691299
white_15,-98.26658558,26.20506685
white_15,-98.2686473989,26.2055816408
white_15,-98.26866214,26.20550661
white_15,-97.8718450853,30.1846601721
white_15,-99.2254943848,26.8543224335
white_15,-97.772895,30.3219866667
white_15,-99.0183280036,26.4052841186
white_15,-98.9986114502,26.4012622833
white_15,-97.6832416667,30.3536866667
white_15,-97.7341527778,30.3938388889
white_15,-98.8209533333,30.4992666667
white_15,-95.6090438517,29.3755071833
white_15,-98.6479561776,33.1934907232
white_15,-98.1926956177,26.1900444031
white_15,-106.6662139893,24.0951519012
white_15,-99.5994618468,29.8206875745
white_15,-99.5994618468,29.8206875745
white_15,-98.076675,30.2815916667
white_15,-98.26879567,26.20476344
white_15,-98.7628631592,29.5507602692
white_15,-97.71825396,30.19273396
white_15,-97.6644833333,30.6320833333
white_15,-98.1923980713,26.189786911
white_15,-98.1924209595,26.1896457672
white_15,-97.6851666667,30.3838527778
white_15,-97.6851583333,30.3838527778
white_15,-97.86753,30.23982
white_15,-106.7539901733,32.2808761597
white_15,-98.7629623413,29.5508289337
white_15,-98.7169723511,29.5237998962
white_15,-97.3858416667,28.6507866667
white_15,-97.97712,29.9670333333
white_15,-98.193107605,26.1895694733
white_15,-99.4293839113,27.5708549051
white_15,-97.2177703195,32.7639929405
white_15,-96.6581138889,32.9660777778
white_15,-97.8418133333,30.4615033333
white_15,-99.17591347,29.97068151
white_15,-97.6645444444,26.1845944444
white_15,-97.6630793784,26.187203243
white_15,-95.2160788991,32.3071117987
white_15,-97.6626805556,26.1850194444
white_15,-99.9691238403,25.1049671173
white_15,-100.0074462891,25.0614948273
white_15,-97.34748,26.2293383333
white_15,-98.2665633333,26.2047383333
white_15,-96.9872266678,32.915640091
white_15,-96.51548151,30.10149796
white_15,-95.4534939398,29.765406386
white_15,-95.4535191693,29.7654049611
white_15,-97.69995,30.2788111111
white_15,-98.2298917069,26.1750148473
white_15,-98.2299332812,26.1753121528
white_15,-97.942895,29.89748
white_15,-100.2180175781,25.7735767365
white_15,-100.2158355713,25.7725334167
white_15,-100.2186660767,25.7703361511
white_15,-98.5694444444,29.5561111111
white_15,-98.5847222222,29.5533333333
white_15,-97.7302388889,30.3200694444
white_15,-98.50537833,27.86139167
white_15,-98.3308475467,26.1793198033
white_15,-98.3661217033,26.1796992067
white_15,-98.511345,27.85569667
white_15,-98.50956667,27.85544167
white_15,-95.6594610951,29.9123297774
white_15,-98.50571333,27.86007167
white_15,-98.50606667,27.86141167
white_15,-98.0297494665,30.0713250543
white_15,-98.8210336442,29.8851268931
white_15,-98.34002,29.67776333
white_15,-98.35067,29.67003833
white_15,-97.6387027778,30.2786166667
white_15,-95.1625065256,29.8033342727
white_15,-98.1355819702,29.8618831635
white_15,-97.8916341774,30.2105683319
white_15,-98.1356083229,29.8646853593
white_15,-99.4288843498,27.5714436499
white_15,-95.8403410554,30.310572576
white_15,-97.4550388889,30.1471194444
white_15,-97.4548805556,30.1453944444
white_15,-97.5674812497,25.9968586732
white_15,-98.5740711959,29.6247751379
white_15,-98.5025174172,29.8508280795
white_15,-97.23760923,30.161577
white_15,-98.578538841,29.6251356104
white_15,-98.5637283333,29.5578116667
white_15,-97.66449929,26.1845152
white_15,-97.641175,30.4029277778
white_15,-97.6409138889,30.4029361111
white_15,-98.4993475365,29.8497986809
white_15,-98.4993223515,29.8494213682
white_15,-97.6813055556,30.3396583333
white_15,-97.6824111111,30.3944722222
white_15,-98.36982,30.73811667
white_15,-97.9870631379,29.9396389057
white_15,-98.5537328,29.6085134
white_15,-97.85880333,30.415225
white_15,-100.2209396362,25.4718799591
white_15,-97.43686528,32.7229439336
white_15,-98.4520808889,29.6334171667
white_15,-98.4486074722,29.6337638889
white_15,-96.6091416667,32.7541555556
white_15,-97.8646029818,30.1899722737
white_15,-97.5542916667,30.3555916667
white_15,-96.98532167,33.00047222
white_15,-98.5771642262,29.6195891372
white_15,-98.5771233532,29.6195832751
white_15,-98.5771470424,29.6196057866
white_15,-96.9693792172,32.8817376945
white_15,-97.1005941555,36.1190179902
white_15,-95.9407660928,29.9303320726
white_15,-97.3471916667,26.2301783333
white_15,-97.3660884926,32.7232611294
white_15,-101.3348464966,27.9279499054
white_15,-97.0167833333,30.6483466667
white_15,-97.5685066739,25.9964595188
white_15,-97.4071371183,35.8998733318
white_15,-97.5711156937,25.9963138406
white_15,-100.2840487153,25.611561579
white_15,-100.2872533194,25.6126611594
white_15,-100.4363861084,25.7688884735
white_15,-95.452295,29.7670916667
white_15,-98.8506627828,29.8494978974
white_15,-97.1281495784,32.786457818
white_15,-97.6875360419,30.3646570739
white_15,-97.7085194444,30.2791722222
white_15,-97.7107555556,30.5112444444
white_15,-97.9507685097,26.3089271075
white_15,-97.9535977264,26.3085298101
white_15,-97.9508459476,26.3086190773
white_15,-97.8237133333,30.2680966667
white_15,-98.8332590694,29.2382035545
white_15,-97.8244633333,30.268905
white_15,-106.7562735388,32.2814636099
white_15,-97.78235,30.3996305556
white_15,-97.7825694444,30.3995222222
white_15,-97.7937916667,30.4195888889
white_15,-97.661795187,26.1855749515
white_15,-98.365495,26.17705833
white_15,-99.1433991537,26.5831832632
white_15,-102.1203905031,26.9229320862
white_15,-97.4418982118,30.0000736109
white_15,-99.1656596,26.7245322
white_15,-97.34783,26.231411
white_15,-98.1741030514,26.3127228412
white_15,-95.5590852927,29.7616619149
white_15,-97.1777416667,32.8859366667
white_15,-98.1682541063,26.2935408089
white_15,-98.1682541063,26.2935408089
white_15,-98.6296533333,29.5546366667
white_15,-97.9577716667,26.1238666667
white_15,-97.290254496,26.100967881
white_15,-98.2309703169,29.1862011554
white_15,-97.47058,31.0878055
white_15,-97.4768962619,26.3337983983
white_15,-97.36518,26.23429498
white_15,-97.34702698,26.22873659
white_15,-97.0726180449,27.834870852
white_15,-98.2297673,26.1767406
white_15,-97.489075,25.89553333
white_15,-97.486405,25.89426333
white_15,-97.48588667,25.89389667
white_15,-97.48570333,25.89395333
white_15,-97.48580333,25.89403333
white_15,-97.4444322288,25.8863650837
white_15,-99.7821255773,25.6048381223
white_15,-97.49433,25.912355
white_15,-97.957145,26.12658883
white_15,-97.95928,26.12446117
white_15,-97.0707445219,28.8483936421
white_15,-97.95272833,26.1250055
white_15,-97.95732167,26.1266
white_15,-97.420355,25.85140833
white_15,-97.8173527778,30.1260972222
white_15,-98.49358333,26.34196333
white_15,-98.47862167,26.33969167
white_15,-98.38642167,26.17897167
white_15,-95.488945,30.1325471667
white_15,-98.2528833333,26.246205
white_15,-97.17452167,26.14115283
white_15,-98.229325,26.176945
white_15,-95.7662535003,29.6555513106
white_15,-98.13840397,26.07587086
white_15,-98.13096877,26.07617315
white_15,-98.1742602959,26.3126011234
white_15,-98.1744460389,26.3149158426
white_15,-98.14012566,26.08014289
white_15,-98.14170127,26.08126185
white_15,-97.56991247,25.99710231
white_15,-100.34192422,29.86176683
white_15,-99.1163536906,26.5146805183
white_15,-98.36536644,26.17700873
white_15,-98.3653988301,26.1769972599
white_15,-98.36520572,26.1770827901
white_15,-97.9586777778,26.1259111111
white_15,-97.8765333333,30.4879583333
white_15,-97.1745305556,26.1376833333
white_15,-95.6176138889,29.813425
white_15,-98.746713826,26.0463414513
white_15,-98.71112,29.5501783333
white_15,-97.300577508,26.1006544384
white_15,-100.173505,25.4045079722
white_15,-98.2297673,26.1767406
white_15,-98.2297673,26.1767406
white_15,-98.2297673,26.1767406
white_15,-98.2297673,26.1767406
white_15,-98.2297673,26.1767406
white_15,-98.2297673,26.1767406
white_15,-98.2297673,26.1767406
white_15,-98.2297673,26.1767406
white_15,-103.2046897775,29.3266864347
white_15,-98.2284681211,26.1696716753
white_15,-97.2203611111,27.6260444444
white_15,-97.2209972222,27.6264222222
white_15,-97.2210166667,27.6262133333
white_15,-98.2305102708,26.1768465122
white_15,-97.0537333333,27.8340111111
white_15,-97.0868916667,27.8341111111
white_15,-100.3794907406,25.6235542806
white_15,-100.3799057006,25.62335968
white_15,-98.4596388889,29.4574888889
white_15,-97.3539839722,26.2188179722
white_15,-103.0113361167,29.2563916667
white_15,-98.3307175711,26.1804374446
white_15,-99.1111138333,26.5359283333
white_15,-98.2298906816,26.174925011
white_15,-98.2298906816,26.174925011
white_15,-98.2298906816,26.174925011
white_15,-98.2301535379,26.1766539435
white_15,-98.2301535379,26.1766539435
white_15,-98.2301535379,26.1766539435
white_15,-98.2301535379,26.1766539435
white_15,-98.2301535379,26.1766539435
white_15,-98.2301535379,26.1766539435
white_15,-98.2301535379,26.1766539435
white_15,-97.9172964022,27.800138344
white_15,-98.1923759722,26.189796
white_15,-95.6171638889,29.374075
white_15,-95.6163916667,29.3740944444
white_15,-97.8471032158,30.4180874278
white_15,-97.3289852746,27.7100092898
white_15,-98.2658838824,29.8524589263
white_15,-97.0462955009,30.8560291278
white_15,-98.6674804444,26.0077342778
white_15,-98.2295616667,26.17638
white_15,-97.2206416667,27.6266027778
white_15,-97.2204583333,27.626325
white_15,-98.16968084,30.25377925
white_15,-98.4037783333,29.7123783333
white_15,-96.2657083333,29.6716966667
white_15,-97.727960108,30.5000026474
white_15,-97.726843,30.504275
white_15,-97.489425,25.89317
white_15,-98.1381,26.0776721667
white_15,-99.56852,29.8232966667
white_15,-97.4893516719,25.8932091946
white_15,-97.997198,26.159153
white_15,-97.997198,26.159153
white_15,-103.5022873352,29.1580593863
white_15,-97.7709981046,30.6937059435
white_15,-98.820393539,30.5086376801
white_15,-98.3794442564,26.1854981336
white_15,-98.1351355997,26.081609
white_15,-98.1350486997,26.0836827
white_15,-98.1328457,26.0792594997
white_15,-103.0180888333,29.18438
white_15,-97.6437305556,30.2168555556
white_15,-97.5581645259,31.0424830197
