Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.92633E-6,0.000192633,0.01037078,1,0,0
1.98051E-6,0.000390684,0.010660932,0.999910818,0,0
2.04082E-6,0.000594765,0.010983759,0.999821636,0,0
2.13672E-6,0.001020529,0.011496941,0.999643271,0,0
2.54123E-6,0.002681732,0.013658553,0.999018996,0,0
2.93659E-6,0.005250285,0.015766682,0.998216356,0,0
3.64408E-6,0.010187925,0.01952791,0.996878623,0,0
4.39883E-6,0.025408839,0.023524572,0.993489699,0,0
4.94139E-6,0.050355628,0.026387526,0.988763043,0,0
5.65416E-6,0.100523992,0.030135863,0.980379916,0,0
6.41777E-6,0.200591758,0.034135565,0.965843218,0,0
6.75357E-6,0.300204007,0.035889233,0.952376706,0,0
7.07243E-6,0.400573253,0.037551479,0.939445287,0.000651042,0
7.34285E-6,0.500115846,0.038958958,0.927138143,0.000651042,0
7.63928E-6,0.600390024,0.040499461,0.915187729,0.000651042,0
7.85944E-6,0.700379536,0.041641994,0.903683225,0.000651042,0
8.0055E-6,0.75032407,0.042399211,0.898064746,0.000651042,0
8.14604E-6,0.800435364,0.043127262,0.89253545,0.000651042,0
8.37733E-6,0.900345096,0.044324241,0.881744404,0.000651042,0
8.61102E-6,1.000606209,0.045532125,0.871220904,0.000651042,0
8.84522E-6,1.100151758,0.046741109,0.861054134,0.000651042,0
9.08788E-6,1.200614696,0.047992127,0.851065727,0.001302083,0
9.34317E-6,1.300275896,0.04930649,0.84143405,0.001302083,0
9.55024E-6,1.400384259,0.050371256,0.831980737,0.001302083,0
9.78238E-6,1.500913487,0.051563511,0.822705788,0.001302083,0
1.03716E-5,1.75100621,0.054583207,0.800588603,0.001953125,0
1.1022E-5,2.000062222,0.057905031,0.77980915,0.001953125,0
1.17195E-5,2.2500137,0.061454375,0.760189066,0.001953125,0.002610966
1.25953E-5,2.500956249,0.06589219,0.741728351,0.001953125,0.002610966
1.35002E-5,2.750147715,0.070455664,0.724694551,0.002604167,0.005221932
1.42996E-5,3.00060896,0.074468375,0.708641755,0.002604167,0.005221932
1.49845E-5,3.251353425,0.077892676,0.693391599,0.002604167,0.005221932
1.56436E-5,3.501025315,0.081175728,0.678854901,0.002604167,0.005221932
1.64142E-5,3.751270666,0.084999595,0.664942477,0.002604167,0.005221932
1.70874E-5,4.000724274,0.088326822,0.65165433,0.002604167,0.005221932
1.7815E-5,4.251765336,0.091909659,0.638812093,0.002604167,0.005221932
1.85561E-5,4.500740254,0.095544791,0.626594132,0.002604167,0.005221932
1.93351E-5,4.750646307,0.099349784,0.614822082,0.003255208,0.007832898
2.01527E-5,5.000777615,0.103325753,0.603495942,0.003255208,0.007832898
2.08663E-5,5.250640737,0.106782059,0.592615714,0.00390625,0.007832898
2.1844E-5,5.5004824,0.111495707,0.582181397,0.00390625,0.007832898
2.28166E-5,5.750702747,0.11616008,0.57219299,0.005859375,0.007832898
2.38244E-5,6.000304141,0.120967262,0.562650495,0.007161458,0.007832898
2.49571E-5,6.250802837,0.126339432,0.553464728,0.007161458,0.007832898
2.61041E-5,6.500466314,0.131745801,0.544724873,0.007161458,0.007832898
2.70125E-5,6.7525338,0.136003767,0.536252564,0.007161458,0.007832898
2.81967E-5,7.001094605,0.141523197,0.528226166,0.007161458,0.010443864
2.92378E-5,7.250832693,0.14634621,0.520467315,0.0078125,0.010443864
3.04161E-5,7.501462839,0.151772505,0.51297601,0.008463542,0.010443864
3.16204E-5,7.752622268,0.157282986,0.505752252,0.009114583,0.010443864
3.26703E-5,8.000116519,0.162057453,0.498885223,0.010416667,0.01305483
3.41403E-5,8.251116538,0.168697107,0.492196558,0.01171875,0.015665796
3.54195E-5,8.501001902,0.174432277,0.485775439,0.01171875,0.020887728
3.63867E-5,8.75242332,0.178742336,0.479532685,0.013020833,0.020887728
3.72996E-5,9.00303166,0.182789786,0.473468296,0.013020833,0.020887728
3.82666E-5,9.252712908,0.187055032,0.467582271,0.013671875,0.020887728
3.92797E-5,9.501249564,0.191499938,0.46187461,0.015625,0.026109661
4.03176E-5,9.75207154,0.196028405,0.456256131,0.016927083,0.026109661
4.14094E-5,10.001141031,0.200764962,0.450816017,0.016927083,0.026109661
4.24289E-5,10.252620178,0.205162406,0.445465085,0.016927083,0.026109661
4.34022E-5,10.501365406,0.2093382,0.440292518,0.018229167,0.028720627
4.44678E-5,10.75233702,0.213884523,0.435209132,0.018229167,0.028720627
4.5349E-5,11.003723009,0.217624432,0.430214929,0.020833333,0.028720627
4.62345E-5,11.251124313,0.221364712,0.42539909,0.020833333,0.028720627
4.72123E-5,11.503719344,0.225474238,0.420583252,0.021484375,0.031331593
4.82495E-5,11.752239821,0.229809706,0.415945777,0.022786458,0.031331593
4.92514E-5,12.001031676,0.233974534,0.411397485,0.0234375,0.033942559
5.01275E-5,12.2543275,0.237597871,0.406849193,0.024739583,0.036553525
5.09137E-5,12.501779849,0.240834714,0.402479265,0.025390625,0.039164491
5.17896E-5,12.753356026,0.24442475,0.398109337,0.028645833,0.039164491
5.28085E-5,13.004668239,0.248579476,0.393828592,0.03125,0.041775457
5.36194E-5,13.254786016,0.251870086,0.389637028,0.031901042,0.041775457
5.4874E-5,13.504372621,0.256932172,0.385534647,0.034505208,0.044386423
5.60189E-5,13.754036075,0.261522021,0.381521448,0.035807292,0.046997389
5.68899E-5,14.002250325,0.264994874,0.377597432,0.039713542,0.046997389
5.80003E-5,14.255326514,0.269398653,0.373673415,0.043619792,0.052219321
5.89668E-5,14.501115419,0.273210089,0.369927762,0.047526042,0.054830287
5.9944E-5,14.750808293,0.277043506,0.36618211,0.05078125,0.054830287
6.08807E-5,15.004670553,0.280699133,0.362436458,0.054036458,0.060052219
6.19514E-5,15.2500273,0.284855,0.35886917,0.055338542,0.062663185
6.31923E-5,15.500212768,0.289641499,0.355301882,0.05859375,0.062663185
6.4158E-5,15.75524593,0.293343978,0.351734594,0.065755208,0.067885117
6.5173E-5,16.000889507,0.297215349,0.34834567,0.0703125,0.070496084
6.62756E-5,16.250831132,0.301396273,0.344956747,0.076171875,0.070496084
6.74262E-5,16.504976275,0.305732666,0.341567823,0.079427083,0.070496084
6.8736E-5,16.750230847,0.31063672,0.338357264,0.082682292,0.07310705
6.99971E-5,17.0002243,0.315325532,0.335146705,0.085286458,0.080939948
7.1393E-5,17.254773871,0.320478323,0.331936146,0.088541667,0.083550914
7.28541E-5,17.500295757,0.325830284,0.328903951,0.091796875,0.088772846
7.43793E-5,17.751086995,0.331372109,0.325871756,0.094401042,0.093994778
7.56724E-5,18.006283212,0.336034712,0.322839561,0.095703125,0.096605744
7.66229E-5,18.250074528,0.33944129,0.319985731,0.09765625,0.096605744
7.78066E-5,18.504835698,0.343659457,0.317042718,0.099609375,0.104438642
7.88578E-5,18.755722441,0.347382625,0.314188888,0.102213542,0.107049608
7.98551E-5,19.00182822,0.35089531,0.31142424,0.106119792,0.109660574
8.08227E-5,19.250996699,0.354285408,0.308659592,0.108072917,0.109660574
8.19317E-5,19.503153842,0.358149181,0.305894943,0.112630208,0.11227154
8.28396E-5,19.750265249,0.361295355,0.303219477,0.116536458,0.117493473
8.40025E-5,20.000720618,0.365302211,0.300544011,0.12109375,0.117493473
8.52241E-5,20.254468303,0.369484395,0.297868545,0.125,0.120104439
8.66051E-5,20.503308914,0.374179298,0.295282262,0.128255208,0.122715405
8.75296E-5,20.755721661,0.377302635,0.292695978,0.130208333,0.127937337
8.87515E-5,21.002732131,0.381406679,0.290198876,0.135416667,0.135770235
8.97616E-5,21.252595367,0.384779076,0.287701775,0.139973958,0.135770235
9.13467E-5,21.506287622,0.390034032,0.285204673,0.145182292,0.135770235
9.2252E-5,21.754146488,0.393015141,0.282796754,0.1484375,0.143603133
9.36201E-5,22.00553155,0.397492407,0.280388834,0.154947917,0.146214099
9.5256E-5,22.250960586,0.402802886,0.278070097,0.158854167,0.148825065
9.65096E-5,22.500199783,0.406840975,0.27575136,0.164713542,0.148825065
9.79474E-5,22.753141096,0.411438343,0.273432623,0.169921875,0.15926893
9.94689E-5,23.009904118,0.416264729,0.271113886,0.174479167,0.161879896
1.00478E-4,23.259826078,0.4194431,0.268884331,0.177734375,0.167101828
1.01775E-4,23.502304693,0.423505635,0.266743958,0.180338542,0.17232376
1.03359E-4,23.758389752,0.428424641,0.264514403,0.186197917,0.177545692
1.04874E-4,24.008547625,0.433092372,0.26237403,0.192708333,0.177545692
1.06228E-4,24.251138182,0.437232393,0.26032284,0.197265625,0.180156658
1.07486E-4,24.507558527,0.441049518,0.258182467,0.200520833,0.180156658
1.08912E-4,24.756652445,0.445347088,0.256131276,0.206380208,0.182767624
1.09903E-4,25.008281543,0.448313272,0.254080086,0.208333333,0.18537859
1.12014E-4,25.251660026,0.454581066,0.252118077,0.211588542,0.195822454
1.13619E-4,25.500133668,0.45929843,0.250156069,0.216796875,0.19843342
1.14729E-4,25.751467994,0.462536486,0.24819406,0.220703125,0.208877285
1.1581E-4,26.005188778,0.465669941,0.246232052,0.2265625,0.211488251
1.16819E-4,26.26130616,0.468580067,0.244270044,0.234375,0.214099217
1.18326E-4,26.508529064,0.472896855,0.242397218,0.240885417,0.216710183
1.1972E-4,26.758411518,0.476858173,0.240524391,0.244140625,0.219321149
1.20992E-4,27.011146481,0.480448544,0.238651565,0.248046875,0.221932115
1.22097E-4,27.254318687,0.483544593,0.236867921,0.252604167,0.232375979
1.23225E-4,27.511879854,0.486687266,0.234995095,0.256510417,0.232375979
1.24663E-4,27.760013703,0.490666922,0.233211451,0.263671875,0.237597911
1.25713E-4,28.0104683,0.493553943,0.231427807,0.267578125,0.237597911
1.27435E-4,28.250984417,0.498250081,0.229733345,0.274088542,0.240208877
1.2856E-4,28.506986733,0.501295705,0.227949701,0.279947917,0.240208877
1.29288E-4,28.752004102,0.503256924,0.226255239,0.286458333,0.255874674
1.30298E-4,29.011577656,0.505966042,0.224471595,0.291015625,0.263707572
1.31161E-4,29.259923376,0.508266995,0.222777134,0.296875,0.268929504
1.32105E-4,29.510014096,0.510772249,0.221082672,0.298828125,0.274151436
1.33343E-4,29.762228573,0.514038663,0.21938821,0.302734375,0.276762402
1.3446E-4,30.003317942,0.516967451,0.217782931,0.306640625,0.276762402
1.35324E-4,30.259691478,0.519222586,0.216088469,0.309895833,0.279373368
1.36428E-4,30.504193427,0.522086385,0.214483189,0.313151042,0.281984334
1.37498E-4,30.750846883,0.524845912,0.21287791,0.31640625,0.281984334
1.38453E-4,31.012943349,0.527295708,0.211183448,0.3203125,0.289817232
1.39741E-4,31.263664567,0.530576788,0.209578168,0.326171875,0.289817232
1.40587E-4,31.501852414,0.532723049,0.208062071,0.330078125,0.292428198
1.4198E-4,31.756367387,0.536231051,0.206456791,0.333984375,0.295039164
1.4292E-4,32.012883922,0.538586123,0.204851512,0.336588542,0.305483029
1.43902E-4,32.256762292,0.541029699,0.203335414,0.339192708,0.310704961
1.45139E-4,32.502629732,0.544093189,0.201819317,0.341145833,0.318537859
1.4651E-4,32.750677838,0.547462486,0.200303219,0.34375,0.336814621
1.47768E-4,33.000652486,0.550532834,0.198787122,0.34765625,0.342036554
1.49074E-4,33.253033748,0.553698037,0.197271025,0.349609375,0.34464752
1.49862E-4,33.50723132,0.555598618,0.195754927,0.354166667,0.349869452
1.51214E-4,33.763182652,0.558836736,0.19423883,0.358723958,0.352480418
1.52744E-4,34.006522696,0.562475586,0.192811915,0.363932292,0.352480418
1.53858E-4,34.252053296,0.565105045,0.191385,0.369140625,0.352480418
1.55106E-4,34.514866839,0.568032365,0.189868902,0.373046875,0.35770235
1.56206E-4,34.764029225,0.570597311,0.188441987,0.37890625,0.360313316
1.57703E-4,35.01508394,0.574060645,0.187015072,0.382161458,0.362924282
1.58839E-4,35.252583476,0.576670957,0.185677339,0.385416667,0.365535248
1.60098E-4,35.507794147,0.579546287,0.184250424,0.389973958,0.37075718
1.61136E-4,35.75367232,0.581900822,0.182823508,0.393229167,0.373368146
1.62437E-4,36.007455649,0.584835553,0.181485775,0.395833333,0.381201044
1.63966E-4,36.252006472,0.588257317,0.180148042,0.3984375,0.389033943
1.65525E-4,36.515696865,0.591715645,0.178721127,0.403645833,0.394255875
1.66453E-4,36.764727434,0.593761106,0.177383394,0.409505208,0.396866841
1.67841E-4,37.01553577,0.596800983,0.176045661,0.416015625,0.402088773
1.69331E-4,37.251537419,0.600039485,0.17479711,0.421223958,0.404699739
1.70958E-4,37.502563493,0.603546128,0.173459378,0.425130208,0.409921671
1.72217E-4,37.750339055,0.606238485,0.172121645,0.429036458,0.412532637
1.73615E-4,38.00656185,0.609205531,0.170873094,0.434244792,0.417754569
1.74783E-4,38.250430818,0.611667632,0.169624543,0.438151042,0.422976501
1.75939E-4,38.513516032,0.614090552,0.16828681,0.442057292,0.433420366
1.77087E-4,38.760455032,0.616479895,0.167038259,0.446614583,0.436031332
1.78434E-4,39.009193522,0.619265911,0.165789708,0.449869792,0.449086162
1.79469E-4,39.259840328,0.621392977,0.164541158,0.455729167,0.449086162
