Species,Longitude,Latitude
white_328,-100.207967,25.630841
white_328,-100.206551,25.632514
white_328,-101.202756,27.937672
white_328,-100.888272,27.67278
white_328,-100.3433266667,25.6747766667
white_328,-100.128974,25.751847
white_328,-98.338962,28.472596
white_328,-100.137523,25.714778
white_328,-100.966112,25.421857
white_328,-100.1504821,25.4252749
white_328,-100.1504821,25.4252749
white_328,-99.9218559265,26.3311145768
white_328,-97.1681257,26.1118401
white_328,-103.4273133333,25.52967
white_328,-97.1716046333,26.1263266522
white_328,-97.3196196944,27.7142122778
white_328,-97.9580712,26.1283176
white_328,-100.2908632,25.9662105
white_328,-98.3316340125,26.3376887022
white_328,-106.6080555556,32.3008333333
white_328,-106.6141666667,32.3022222222
white_328,-106.6141666667,32.3022222222
white_328,-95.2953600955,30.0294807203
white_328,-100.360263,25.6187633
white_328,-97.3236904946,27.7125552949
white_328,-97.0475094,28.0532065
white_328,-96.8365860796,32.7639495567
white_328,-100.4403161417,25.7557209198
white_328,-100.4629324811,25.7680891056
white_328,-95.301125,30.0320028333
white_328,-100.207725,25.6308716667
white_328,-97.6850888889,30.3986027778
white_328,-100.936095,25.3886666667
white_328,-97.957826,26.126124
white_328,-97.3802295327,28.646446405
white_328,-100.2036239952,25.640040162
white_328,-100.2032699585,25.6401977539
white_328,-100.2019042969,25.6413612366
white_328,-100.2025299072,25.6410808563
white_328,-100.2026138306,25.6407356262
white_328,-99.9915161133,25.9326305389
white_328,-99.9908828735,25.9326000214
white_328,-99.9907455444,25.9325256348
white_328,-100.2049102783,25.6803302765
white_328,-100.5154465466,25.6923964784
white_328,-100.4629181652,25.6498491338
white_328,-100.4423188,25.6746058
white_328,-100.936095,25.3886666667
white_328,-97.4142712092,25.8511611907
white_328,-97.1027305,32.6497116667
white_328,-95.555014,28.958308
white_328,-97.7543872638,30.3441636025
white_328,-95.3849416667,29.7075
white_328,-95.4472049979,29.6588099515
white_328,-95.4472325743,29.6582337795
white_328,-98.2310092755,26.1762762404
white_328,-100.3773283333,25.66803
white_328,-98.1935709172,26.1897752775
white_328,-97.4536333333,30.1484116667
white_328,-95.2865022568,30.0236490694
white_328,-97.1727212288,26.1384049676
white_328,-95.4523915576,29.7663697491
white_328,-95.4529674559,29.7671200326
white_328,-98.3661473697,26.1783917949
white_328,-100.1476687117,25.4057974957
white_328,-97.2714500697,32.7454381657
white_328,-97.7812922208,32.4451601672
white_328,-95.606712,29.7423709999
white_328,-100.1060028076,25.6611785889
white_328,-102.914724,29.201664
white_328,-102.914451,29.201995
white_328,-102.9147333333,29.2019416667
white_328,-102.9148333333,29.2018633333
white_328,-102.914245,29.20187
white_328,-103.0311361667,29.202595
white_328,-103.0308528333,29.2026583333
white_328,-103.4840166667,29.3005366667
white_328,-103.4836883333,29.30028
white_328,-103.4836716667,29.3002783333
white_328,-103.4841383333,29.3003366667
white_328,-98.737555,26.3459883333
white_328,-100.2708358765,25.5490512848
white_328,-98.3309633333,26.1829
white_328,-96.792039,28.257971
white_328,-100.2823461665,25.7688308505
white_328,-98.4863967896,29.8748664856
white_328,-97.9663833333,29.9006516667
white_328,-97.7246461099,30.312964249
white_328,-99.4303569774,27.5763592462
white_328,-97.6622712,26.1865632
white_328,-97.6622712,26.1865632
white_328,-99.4393153,27.573686
white_328,-98.4829166667,29.885025
white_328,-98.3802341657,26.1854893353
white_328,-98.5044846647,29.8516830017
white_328,-100.2708505589,25.5495238185
white_328,-103.1450767378,28.9791933214
white_328,-98.46595,29.63853833
white_328,-103.3428194444,29.2771944444
white_328,-98.26614496,26.20646329
white_328,-98.26617776,26.20628084
white_328,-98.2535970383,28.4675003947
white_328,-98.2298196412,26.176125847
white_328,-98.2298840142,26.1759910477
white_328,-98.2300028237,26.1753074207
white_328,-98.2297859399,26.1749615273
white_328,-98.2298142767,26.176125847
white_328,-98.19712174,29.85797551
white_328,-97.0365704547,28.0458850906
white_328,-96.5404225709,28.9551773114
white_328,-98.2302085616,26.1770945513
white_328,-98.2301254132,26.1774315459
white_328,-98.2299108364,26.1776072641
white_328,-98.229836899,26.1776625861
white_328,-98.2298142769,26.1775831932
white_328,-98.2297874548,26.1776457777
white_328,-95.45244042,29.76356579
white_328,-98.4367264022,29.474997508
white_328,-95.3699769398,29.7821959477
white_328,-95.4494618528,29.7636863694
white_328,-95.4503634798,29.766859152
white_328,-95.3955311293,30.0381405423
white_328,-103.01126945,29.25643667
white_328,-97.8239,30.3040944444
white_328,-97.8235333333,30.3104722222
white_328,-97.8241861111,30.3106388889
white_328,-97.7179472222,30.4130583333
white_328,-99.43212857,27.57614176
white_328,-95.4511097074,29.7617710708
white_328,-95.45404,29.7611922222
white_328,-99.4291024833,27.5710781868
white_328,-97.7589233486,30.4174235836
white_328,-98.3657057267,26.1778418817
white_328,-97.73535333,30.268975
white_328,-97.3255478931,27.6668261751
white_328,-97.7772422197,30.3774160854
white_328,-98.2298,26.1767882
white_328,-98.2298,26.1767882
white_328,-98.2298,26.1767882
white_328,-98.2298,26.1767882
white_328,-97.6651,30.63797
white_328,-98.529545786,29.5534714312
white_328,-98.5295367796,29.5532407222
white_328,-97.1754305556,30.0562944444
white_328,-97.96182678,29.87431177
white_328,-98.6872799911,29.3956515526
white_328,-97.3277564324,27.668612693
white_328,-97.781186594,30.2786799447
white_328,-95.48538333,30.22466167
white_328,-98.2297451422,26.1774114569
white_328,-97.66300564,26.18506626
white_328,-95.7041946943,29.7121125173
white_328,-97.78863667,30.40509667
white_328,-97.732095,30.33785
white_328,-98.5743861586,29.6214351121
white_328,-98.379417,26.185973
white_328,-97.3473029,26.2289701
white_328,-97.1454555,33.0238583333
white_328,-100.272019359,25.5672884982
white_328,-95.4528612,29.7662503
white_328,-100.1256947592,25.7634114458
white_328,-98.1332546291,26.2901134418
white_328,-98.1347180787,26.2903198499
white_328,-99.8125822284,30.4499807674
white_328,-98.1377119324,26.078789398
white_328,-98.1427296656,26.0793625498
white_328,-98.2910536632,26.2924368948
white_328,-99.8000155074,30.4534122741
white_328,-98.3657571049,26.1788315876
white_328,-98.3654237247,26.1761722157
white_328,-96.6375916667,32.9711055556
white_328,-95.7911542,29.7877889
white_328,-97.4790640711,26.0169845804
white_328,-97.4788932103,26.0171862334
white_328,-98.1348747388,26.2916685773
white_328,-98.1348747388,26.2916685773
white_328,-98.229829967,26.1748442552
white_328,-97.955734,26.126545
white_328,-97.1803425278,26.2134766667
white_328,-98.4773809722,29.372015
white_328,-99.14959675,26.5845555833
white_328,-97.9556283333,26.1263971667
white_328,-100.7275929722,25.691005
white_328,-97.5142533333,25.92003
white_328,-98.2619322756,26.0964142923
white_328,-97.0389222222,32.7674861111
white_328,-95.4503219913,29.7666375265
white_328,-95.6499550256,29.7554844561
white_328,-97.1455528333,33.0237778333
white_328,-98.3008778282,26.1700097658
white_328,-99.0197,26.406155
white_328,-96.2589358911,29.5585842163
white_328,-95.39637,30.09025
white_328,-103.408295,29.1623583333
white_328,-95.4504055556,29.7668222222
white_328,-95.7288303,29.7384536
white_328,-97.662145507,26.1870840302
white_328,-97.6621166667,26.1870716667
white_328,-96.7724386039,31.0188114627
white_328,-99.142535,26.583447
white_328,-95.3261987778,30.2921499722
white_328,-98.3542499,28.4657133
white_328,-95.5846730232,28.8830703089
white_328,-97.664245,26.1860283333
white_328,-97.7311633333,26.1745083333
white_328,-97.73117,26.1743966667
